[El/Fe]      Z            FDU          TDU_1        TDU_2        
C            6            -1.26410E-01 -8.26893E-02 -5.33219E-02 
N            7            2.83106E-01  3.03805E-01  3.05854E-01  
O            8            0.00000E+00  0.00000E+00  0.00000E+00  
F            9            0.00000E+00  0.00000E+00  0.00000E+00  
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  
Na           11           0.00000E+00  1.83648E-02  2.03834E-02  
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  
S            16           0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00000E+00  0.00000E+00  0.00000E+00  
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  
As           33           0.00000E+00  0.00000E+00  0.00000E+00  
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  
Rb           37           0.00000E+00  0.00000E+00  1.35567E-02  
Sr           38           0.00000E+00  2.56595E-02  5.43589E-02  
Y            39           0.00000E+00  2.33859E-02  5.33840E-02  
Zr           40           0.00000E+00  1.83103E-02  4.86594E-02  
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  
Mo           42           0.00000E+00  0.00000E+00  2.26121E-02  
Tc           43           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  1.84466E-02  
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  
Pd           46           0.00000E+00  0.00000E+00  2.56316E-02  
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  
Cd           48           0.00000E+00  0.00000E+00  3.23278E-02  
In           49           0.00000E+00  0.00000E+00  2.04444E-02  
Sn           50           0.00000E+00  0.00000E+00  3.26483E-02  
Sb           51           0.00000E+00  0.00000E+00  1.36248E-02  
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  
I            53           0.00000E+00  0.00000E+00  0.00000E+00  
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  
Cs           55           0.00000E+00  0.00000E+00  1.90324E-02  
Ba           56           0.00000E+00  0.00000E+00  4.07169E-02  
La           57           0.00000E+00  0.00000E+00  3.31744E-02  
Ce           58           0.00000E+00  0.00000E+00  2.91435E-02  
Pr           59           0.00000E+00  0.00000E+00  1.81172E-02  
Nd           60           0.00000E+00  0.00000E+00  1.79051E-02  
Pm           61           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  
Yb           70           0.00000E+00  0.00000E+00  1.03908E-02  
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  
Hf           72           0.00000E+00  0.00000E+00  1.30808E-02  
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  
W            74           0.00000E+00  0.00000E+00  1.19629E-02  
Re           75           -1.40589E-01 -1.41988E-01 -1.37101E-01 
Os           76           0.00000E+00  0.00000E+00  1.10133E-02  
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  
