[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        
C            6            -1.51E-01    2.58E-01     8.74E-01     1.17E+00     1.36E+00     1.49E+00     
N            7            3.17E-01     3.78E-01     3.79E-01     3.83E-01     3.91E-01     4.02E-01     
O            8            0.00000E+00  0.00000E+00  2.60E-02     6.11E-02     9.67E-02     1.28E-01     
F            9            0.00000E+00  0.00000E+00  3.80E-01     6.63E-01     8.69E-01     1.03E+00     
Ne           10           0.00000E+00  0.00000E+00  8.25E-02     2.00E-01     3.26E-01     4.42E-01     
Na           11           3.59E-02     7.78E-02     8.56E-02     1.02E-01     1.27E-01     1.57E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.21E-02     2.04E-02     
Al           13           0.00000E+00  0.00000E+00  1.45E-02     2.28E-02     3.00E-02     3.57E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  1.45E-02     2.34E-02     3.14E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  1.09E-02     2.07E-02     3.04E-02     4.01E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  2.27E-02     4.21E-02     5.86E-02     7.31E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  3.18E-02     5.76E-02     7.82E-02     9.46E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     1.67E-02     
Ga           31           0.00000E+00  0.00000E+00  1.14E-02     2.73E-02     4.50E-02     6.04E-02     
Ge           32           0.00000E+00  0.00000E+00  1.12E-02     2.73E-02     4.59E-02     6.23E-02     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  2.25E-02     3.83E-02     5.23E-02     
Se           34           0.00000E+00  0.00000E+00  1.35E-02     3.24E-02     5.38E-02     7.25E-02     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  1.86E-02     3.23E-02     4.52E-02     
Kr           36           0.00000E+00  0.00000E+00  1.63E-02     3.94E-02     6.56E-02     8.92E-02     
Rb           37           0.00000E+00  0.00000E+00  3.72E-02     6.92E-02     1.02E-01     1.33E-01     
Sr           38           0.00000E+00  0.00000E+00  1.01E-01     2.34E-01     3.54E-01     4.44E-01     
Y            39           0.00000E+00  0.00000E+00  1.28E-01     2.67E-01     3.88E-01     4.79E-01     
Zr           40           0.00000E+00  0.00000E+00  1.46E-01     2.99E-01     4.25E-01     5.17E-01     
Nb           41           0.00000E+00  0.00000E+00  1.03E-02     3.39E-02     6.72E-02     1.05E-01     
Mo           42           0.00000E+00  0.00000E+00  8.97E-02     2.12E-01     3.23E-01     4.06E-01     
Tc           43           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  5.60E-02     1.54E-01     2.54E-01     3.34E-01     
Rh           45           0.00000E+00  0.00000E+00  2.37E-02     7.12E-02     1.26E-01     1.73E-01     
Pd           46           0.00000E+00  0.00000E+00  7.62E-02     1.98E-01     3.14E-01     4.05E-01     
Ag           47           0.00000E+00  0.00000E+00  2.39E-02     6.92E-02     1.21E-01     1.66E-01     
Cd           48           0.00000E+00  0.00000E+00  1.10E-01     2.58E-01     3.89E-01     4.89E-01     
In           49           0.00000E+00  0.00000E+00  7.23E-02     1.81E-01     2.87E-01     3.71E-01     
Sn           50           0.00000E+00  0.00000E+00  1.54E-01     3.26E-01     4.68E-01     5.71E-01     
Sb           51           0.00000E+00  0.00000E+00  7.68E-02     1.71E-01     2.62E-01     3.36E-01     
Te           52           0.00000E+00  0.00000E+00  5.30E-02     1.33E-01     2.12E-01     2.74E-01     
I            53           0.00000E+00  0.00000E+00  1.44E-02     4.13E-02     7.23E-02     9.97E-02     
Xe           54           0.00000E+00  0.00000E+00  5.96E-02     1.48E-01     2.34E-01     3.04E-01     
Cs           55           0.00000E+00  0.00000E+00  1.02E-01     2.13E-01     3.24E-01     4.16E-01     
Ba           56           0.00000E+00  0.00000E+00  3.63E-01     6.70E-01     8.83E-01     1.02E+00     
La           57           0.00000E+00  0.00000E+00  3.78E-01     6.88E-01     9.03E-01     1.04E+00     
