[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        
C            6            -1.56E-01    1.05E+00     1.49E+00     1.74E+00     1.90E+00     1.99E+00     2.06E+00     2.10E+00     
N            7            3.23E-01     4.42E-01     4.52E-01     4.71E-01     4.98E-01     5.32E-01     5.71E-01     6.12E-01     
O            8            4.99E-01     5.08E-01     5.42E-01     5.81E-01     6.17E-01     6.41E-01     6.58E-01     6.68E-01     
F            9            0.00000E+00  3.97E-01     9.36E-01     1.25E+00     1.47E+00     1.59E+00     1.68E+00     1.74E+00     
Ne           10           4.77E-01     4.89E-01     5.82E-01     7.13E-01     8.43E-01     9.37E-01     1.01E+00     1.06E+00     
Na           11           3.79E-02     9.99E-02     1.26E-01     1.79E-01     2.54E-01     3.22E-01     3.82E-01     4.27E-01     
Mg           12           4.33E-01     4.34E-01     4.37E-01     4.43E-01     4.52E-01     4.60E-01     4.69E-01     4.77E-01     
Al           13           0.00000E+00  3.52E-02     6.45E-02     8.54E-02     9.96E-02     1.07E-01     1.13E-01     1.16E-01     
Si           14           4.76E-01     4.77E-01     4.78E-01     4.79E-01     4.79E-01     4.80E-01     4.80E-01     4.80E-01     
P            15           0.00000E+00  4.72E-02     1.12E-01     1.65E-01     2.03E-01     2.24E-01     2.37E-01     2.45E-01     
S            16           4.85E-01     4.85E-01     4.86E-01     4.86E-01     4.86E-01     4.86E-01     4.86E-01     4.86E-01     
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  1.25E-02     1.81E-02     2.25E-02     2.61E-02     2.86E-02     
Ar           18           4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.51E-01     4.51E-01     
K            19           0.00000E+00  0.00000E+00  1.37E-02     2.07E-02     2.64E-02     3.02E-02     3.32E-02     3.53E-02     
Ca           20           4.91E-01     4.91E-01     4.91E-01     4.90E-01     4.90E-01     4.90E-01     4.90E-01     4.90E-01     
Sc           21           0.00000E+00  4.28E-02     8.03E-02     1.09E-01     1.30E-01     1.43E-01     1.52E-01     1.57E-01     
Ti           22           0.00000E+00  0.00000E+00  1.32E-02     2.08E-02     2.70E-02     3.08E-02     3.35E-02     3.51E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  1.01E-02     2.23E-02     3.36E-02     4.46E-02     5.44E-02     6.36E-02     7.11E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     1.44E-02     1.55E-02     1.62E-02     1.66E-02     
Cu           29           0.00000E+00  1.07E-01     2.11E-01     2.73E-01     3.09E-01     3.26E-01     3.35E-01     3.40E-01     
Zn           30           0.00000E+00  4.15E-02     9.90E-02     1.41E-01     1.67E-01     1.79E-01     1.86E-01     1.89E-01     
Ga           31           0.00000E+00  1.72E-01     3.43E-01     4.39E-01     4.92E-01     5.16E-01     5.28E-01     5.34E-01     
Ge           32           0.00000E+00  1.76E-01     3.47E-01     4.45E-01     5.00E-01     5.25E-01     5.39E-01     5.45E-01     
As           33           0.00000E+00  1.52E-01     3.05E-01     3.97E-01     4.51E-01     4.76E-01     4.89E-01     4.95E-01     
Se           34           0.00000E+00  2.01E-01     3.84E-01     4.82E-01     5.37E-01     5.62E-01     5.74E-01     5.79E-01     
Br           35           0.00000E+00  1.17E-01     2.53E-01     3.45E-01     4.06E-01     4.44E-01     4.69E-01     4.85E-01     
Kr           36           0.00000E+00  2.22E-01     4.31E-01     5.50E-01     6.17E-01     6.47E-01     6.63E-01     6.70E-01     
Rb           37           0.00000E+00  4.05E-01     6.61E-01     7.83E-01     8.53E-01     8.87E-01     9.06E-01     9.15E-01     
Sr           38           0.00000E+00  1.96E-01     4.99E-01     6.80E-01     7.94E-01     8.51E-01     8.87E-01     9.05E-01     
Y            39           0.00000E+00  1.49E-01     3.98E-01     5.68E-01     6.87E-01     7.52E-01     7.96E-01     8.19E-01     
Zr           40           0.00000E+00  1.28E-01     3.35E-01     4.91E-01     6.06E-01     6.70E-01     7.16E-01     7.40E-01     
Nb           41           0.00000E+00  0.00000E+00  2.32E-02     5.63E-02     9.83E-02     1.44E-01     1.86E-01     2.24E-01     
Mo           42           0.00000E+00  7.91E-02     2.21E-01     3.47E-01     4.46E-01     5.02E-01     5.43E-01     5.65E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  6.74E-02     1.96E-01     3.07E-01     3.97E-01     4.50E-01     4.88E-01     5.11E-01     
Rh           45           0.00000E+00  3.03E-02     9.74E-02     1.62E-01     2.18E-01     2.52E-01     2.78E-01     2.92E-01     
Pd           46           0.00000E+00  8.33E-02     2.46E-01     3.78E-01     4.78E-01     5.35E-01     5.75E-01     5.98E-01     
Ag           47           0.00000E+00  2.55E-02     8.80E-02     1.51E-01     2.06E-01     2.39E-01     2.65E-01     2.79E-01     
Cd           48           0.00000E+00  1.03E-01     2.91E-01     4.42E-01     5.55E-01     6.18E-01     6.64E-01     6.89E-01     
In           49           0.00000E+00  6.49E-02     2.02E-01     3.25E-01     4.22E-01     4.79E-01     5.20E-01     5.43E-01     
Sn           50           0.00000E+00  1.21E-01     3.26E-01     4.86E-01     6.03E-01     6.71E-01     7.19E-01     7.46E-01     
Sb           51           0.00000E+00  5.68E-02     1.64E-01     2.65E-01     3.48E-01     4.01E-01     4.41E-01     4.64E-01     
Te           52           0.00000E+00  3.73E-02     1.22E-01     2.07E-01     2.77E-01     3.20E-01     3.52E-01     3.70E-01     
I            53           0.00000E+00  1.15E-02     4.07E-02     7.37E-02     1.04E-01     1.24E-01     1.40E-01     1.50E-01     
Xe           54           0.00000E+00  5.36E-02     1.54E-01     2.48E-01     3.24E-01     3.70E-01     4.03E-01     4.23E-01     
Cs           55           0.00000E+00  7.03E-02     2.12E-01     3.29E-01     4.25E-01     4.86E-01     5.30E-01     5.55E-01     
Ba           56           0.00000E+00  2.25E-01     5.70E-01     8.15E-01     9.73E-01     1.06E+00     1.12E+00     1.16E+00     
La           57           0.00000E+00  2.09E-01     5.59E-01     8.14E-01     9.76E-01     1.07E+00     1.13E+00     1.17E+00     
Ce           58           0.00000E+00  1.95E-01     5.77E-01     8.66E-01     1.05E+00     1.15E+00     1.22E+00     1.26E+00     
Pr           59           0.00000E+00  1.18E-01     4.25E-01     6.85E-01     8.61E-01     9.64E-01     1.04E+00     1.08E+00     
Nd           60           0.00000E+00  1.75E-01     5.08E-01     7.81E-01     9.58E-01     1.06E+00     1.13E+00     1.17E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  1.58E-01     4.00E-01     6.20E-01     7.71E-01     8.60E-01     9.23E-01     9.59E-01     
