[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        
C            6            -1.31628E-01 -1.46221E-01 -3.05598E-02 2.86862E-02  
N            7            2.90398E-01  3.11891E-01  3.13545E-01  3.15530E-01  
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            0.00000E+00  0.00000E+00  0.00000E+00  1.90122E-02  
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Na           11           1.27168E-02  2.17187E-02  2.48055E-02  2.70692E-02  
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  1.11614E-02  
Rb           37           0.00000E+00  0.00000E+00  1.30243E-02  2.03520E-02  
Sr           38           0.00000E+00  0.00000E+00  6.00372E-02  1.10852E-01  
Y            39           0.00000E+00  0.00000E+00  6.86057E-02  1.21933E-01  
Zr           40           0.00000E+00  0.00000E+00  7.45428E-02  1.33157E-01  
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  1.12900E-02  
Mo           42           0.00000E+00  0.00000E+00  4.04422E-02  8.15189E-02  
Tc           43           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  3.02488E-02  6.31405E-02  
Rh           45           0.00000E+00  0.00000E+00  1.45654E-02  2.98894E-02  
Pd           46           0.00000E+00  0.00000E+00  4.81224E-02  9.25364E-02  
Ag           47           0.00000E+00  0.00000E+00  1.44733E-02  2.95943E-02  
Cd           48           0.00000E+00  0.00000E+00  6.54662E-02  1.21547E-01  
In           49           0.00000E+00  0.00000E+00  4.24921E-02  8.14862E-02  
Sn           50           0.00000E+00  0.00000E+00  7.52544E-02  1.40053E-01  
Sb           51           0.00000E+00  0.00000E+00  3.52272E-02  6.49543E-02  
