[El/Fe]      Z            FDU          
C            6            -1.22242E-01 
N            7            2.77114E-01  
O            8            0.00000E+00  
F            9            0.00000E+00  
Ne           10           0.00000E+00  
Na           11           0.00000E+00  
Mg           12           0.00000E+00  
Al           13           0.00000E+00  
Si           14           0.00000E+00  
P            15           0.00000E+00  
S            16           0.00000E+00  
Cl           17           0.00000E+00  
Ar           18           0.00000E+00  
K            19           0.00000E+00  
Ca           20           0.00000E+00  
Sc           21           0.00000E+00  
Ti           22           0.00000E+00  
V            23           0.00000E+00  
Cr           24           0.00000E+00  
Mn           25           0.00000E+00  
Fe           26           0.00000E+00  
Co           27           0.00000E+00  
Ni           28           0.00000E+00  
Cu           29           0.00000E+00  
Zn           30           0.00000E+00  
Ga           31           0.00000E+00  
Ge           32           0.00000E+00  
As           33           0.00000E+00  
Se           34           0.00000E+00  
Br           35           0.00000E+00  
Kr           36           0.00000E+00  
Rb           37           0.00000E+00  
Sr           38           0.00000E+00  
Y            39           0.00000E+00  
Zr           40           0.00000E+00  
Nb           41           0.00000E+00  
Mo           42           0.00000E+00  
Tc           43           \N           
Ru           44           0.00000E+00  
Rh           45           0.00000E+00  
Pd           46           0.00000E+00  
Ag           47           0.00000E+00  
Cd           48           0.00000E+00  
In           49           0.00000E+00  
Sn           50           0.00000E+00  
Sb           51           0.00000E+00  
Te           52           0.00000E+00  
I            53           0.00000E+00  
Xe           54           0.00000E+00  
Cs           55           0.00000E+00  
Ba           56           0.00000E+00  
La           57           0.00000E+00  
Ce           58           0.00000E+00  
Pr           59           0.00000E+00  
Nd           60           0.00000E+00  
Pm           61           \N           
Sm           62           0.00000E+00  
Eu           63           0.00000E+00  
Gd           64           0.00000E+00  
Tb           65           0.00000E+00  
Dy           66           0.00000E+00  
Ho           67           0.00000E+00  
Er           68           0.00000E+00  
Tm           69           0.00000E+00  
Yb           70           0.00000E+00  
Lu           71           0.00000E+00  
Hf           72           0.00000E+00  
Ta           73           0.00000E+00  
W            74           0.00000E+00  
Re           75           -1.47389E-01 
Os           76           0.00000E+00  
Ir           77           0.00000E+00  
Pt           78           0.00000E+00  
Au           79           0.00000E+00  
Hg           80           0.00000E+00  
Tl           81           0.00000E+00  
Pb           82           0.00000E+00  
Bi           83           0.00000E+00  
