[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        
C            6            -1.51E-01    -4.93E-02    1.32E-01     3.05E-01     4.43E-01     
N            7            3.17E-01     3.31E-01     3.31E-01     3.31E-01     3.30E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            0.00000E+00  1.54E-02     6.42E-02     1.42E-01     2.31E-01     
Ne           10           0.00000E+00  0.00000E+00  2.67E-02     5.79E-02     9.45E-02     
Na           11           3.29E-02     4.13E-02     4.85E-02     5.91E-02     7.16E-02     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.29E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  1.01E-02     1.72E-02     2.41E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  1.73E-02     2.89E-02     3.83E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  2.29E-02     3.89E-02     5.26E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.38E-02     
Ga           31           0.00000E+00  0.00000E+00  2.18E-02     4.54E-02     7.13E-02     
Ge           32           0.00000E+00  0.00000E+00  2.45E-02     5.10E-02     8.01E-02     
As           33           0.00000E+00  0.00000E+00  2.23E-02     4.66E-02     7.36E-02     
Se           34           0.00000E+00  0.00000E+00  3.81E-02     7.66E-02     1.17E-01     
Br           35           0.00000E+00  0.00000E+00  2.36E-02     5.16E-02     8.25E-02     
Kr           36           0.00000E+00  1.36E-02     5.01E-02     1.00E-01     1.51E-01     
Rb           37           0.00000E+00  3.71E-02     9.87E-02     1.58E-01     2.07E-01     
Sr           38           0.00000E+00  7.42E-02     2.97E-01     5.30E-01     7.06E-01     
Y            39           0.00000E+00  9.07E-02     3.23E-01     5.47E-01     7.15E-01     
Zr           40           0.00000E+00  8.71E-02     3.31E-01     5.71E-01     7.48E-01     
Nb           41           0.00000E+00  0.00000E+00  2.91E-02     8.72E-02     1.65E-01     
Mo           42           0.00000E+00  3.74E-02     2.14E-01     4.22E-01     5.88E-01     
Tc           43           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  1.92E-02     1.60E-01     3.49E-01     5.07E-01     
Rh           45           0.00000E+00  0.00000E+00  7.68E-02     1.86E-01     2.91E-01     
Pd           46           0.00000E+00  2.90E-02     2.05E-01     4.26E-01     6.01E-01     
Ag           47           0.00000E+00  0.00000E+00  7.19E-02     1.76E-01     2.79E-01     
Cd           48           0.00000E+00  4.49E-02     2.56E-01     4.98E-01     6.82E-01     
In           49           0.00000E+00  2.84E-02     1.81E-01     3.77E-01     5.37E-01     
Sn           50           0.00000E+00  5.24E-02     2.91E-01     5.47E-01     7.36E-01     
Sb           51           0.00000E+00  2.43E-02     1.43E-01     2.95E-01     4.26E-01     
Te           52           0.00000E+00  1.27E-02     1.08E-01     2.52E-01     3.83E-01     
I            53           0.00000E+00  0.00000E+00  3.26E-02     8.69E-02     1.46E-01     
Xe           54           0.00000E+00  1.21E-02     1.09E-01     2.57E-01     3.91E-01     
Cs           55           0.00000E+00  2.53E-02     1.86E-01     3.36E-01     4.60E-01     
Ba           56           0.00000E+00  3.29E-02     3.87E-01     7.36E-01     9.67E-01     
La           57           0.00000E+00  2.09E-02     3.44E-01     6.85E-01     9.13E-01     
Ce           58           0.00000E+00  1.25E-02     3.25E-01     6.72E-01     9.04E-01     
Pr           59           0.00000E+00  0.00000E+00  2.14E-01     4.74E-01     6.73E-01     
Nd           60           0.00000E+00  0.00000E+00  2.31E-01     5.28E-01     7.42E-01     
Pm           61           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  1.28E-01     3.34E-01     5.09E-01     
Eu           63           0.00000E+00  0.00000E+00  2.57E-02     8.01E-02     1.42E-01     
Gd           64           0.00000E+00  0.00000E+00  6.48E-02     1.96E-01     3.20E-01     
Tb           65           0.00000E+00  0.00000E+00  3.62E-02     1.21E-01     2.14E-01     
Dy           66           0.00000E+00  0.00000E+00  6.78E-02     2.05E-01     3.37E-01     
Ho           67           0.00000E+00  0.00000E+00  3.15E-02     1.03E-01     1.83E-01     
Er           68           0.00000E+00  0.00000E+00  7.03E-02     2.10E-01     3.46E-01     
Tm           69           0.00000E+00  0.00000E+00  4.25E-02     1.39E-01     2.45E-01     
Yb           70           0.00000E+00  0.00000E+00  1.49E-01     3.81E-01     5.67E-01     
Lu           71           0.00000E+00  0.00000E+00  1.02E-01     2.89E-01     4.55E-01     
Hf           72           0.00000E+00  0.00000E+00  1.74E-01     4.29E-01     6.27E-01     
Ta           73           0.00000E+00  0.00000E+00  1.44E-01     3.76E-01     5.68E-01     
W            74           0.00000E+00  0.00000E+00  1.81E-01     4.43E-01     6.45E-01     
Re           75           -1.06E-01    -1.07E-01    -3.40E-02    7.77E-02     1.94E-01     
Os           76           0.00000E+00  0.00000E+00  4.62E-02     1.34E-01     2.26E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  1.68E-02     3.38E-02     
Pt           78           0.00000E+00  0.00000E+00  1.81E-02     6.77E-02     1.27E-01     
Au           79           0.00000E+00  0.00000E+00  1.58E-02     5.63E-02     1.06E-01     
Hg           80           0.00000E+00  0.00000E+00  1.38E-01     3.74E-01     5.66E-01     
Tl           81           0.00000E+00  0.00000E+00  1.63E-01     4.35E-01     6.45E-01     
Pb           82           0.00000E+00  0.00000E+00  6.02E-02     2.24E-01     3.99E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.13E-02     
