[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        
C            6            -1.53E-01    -1.01E-01    5.37E-02     2.37E-01     3.82E-01     4.85E-01     4.94E-01     
N            7            3.20E-01     3.25E-01     3.25E-01     3.25E-01     3.25E-01     3.25E-01     3.27E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            0.00000E+00  0.00000E+00  7.88E-02     2.02E-01     3.14E-01     3.98E-01     4.05E-01     
Ne           10           0.00000E+00  0.00000E+00  1.61E-02     4.55E-02     8.21E-02     1.17E-01     1.20E-01     
Na           11           3.29E-02     3.78E-02     4.38E-02     5.53E-02     6.98E-02     8.36E-02     8.60E-02     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     1.84E-02     2.40E-02     2.45E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.72E-02     2.29E-02     2.33E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  2.03E-02     3.03E-02     3.86E-02     3.94E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  1.45E-02     2.93E-02     4.31E-02     5.38E-02     5.55E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  3.66E-02     7.60E-02     1.11E-01     1.38E-01     1.40E-01     
Zn           30           0.00000E+00  0.00000E+00  1.55E-02     4.09E-02     6.75E-02     8.83E-02     8.99E-02     
Ga           31           0.00000E+00  1.05E-02     7.24E-02     1.71E-01     2.60E-01     3.22E-01     3.26E-01     
Ge           32           0.00000E+00  1.03E-02     6.70E-02     1.57E-01     2.40E-01     2.98E-01     3.03E-01     
As           33           0.00000E+00  0.00000E+00  4.47E-02     1.06E-01     1.66E-01     2.10E-01     2.14E-01     
Se           34           0.00000E+00  1.48E-02     8.97E-02     1.92E-01     2.78E-01     3.38E-01     3.41E-01     
Br           35           0.00000E+00  0.00000E+00  5.10E-02     1.18E-01     1.89E-01     2.43E-01     2.61E-01     
Kr           36           0.00000E+00  1.78E-02     1.06E-01     2.29E-01     3.31E-01     3.99E-01     4.03E-01     
