[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        
C            6            -1.51E-01    -5.47E-02    1.26E-01     3.01E-01     4.39E-01     4.78E-01     
N            7            3.17E-01     3.31E-01     3.32E-01     3.31E-01     3.31E-01     3.32E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            0.00000E+00  1.40E-02     6.03E-02     1.36E-01     2.22E-01     2.52E-01     
Ne           10           0.00000E+00  0.00000E+00  2.60E-02     5.74E-02     9.43E-02     1.08E-01     
Na           11           3.29E-02     4.13E-02     4.85E-02     5.93E-02     7.20E-02     7.74E-02     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  1.96E-02     2.96E-02     3.25E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.60E-02     1.77E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  1.75E-02     2.95E-02     4.08E-02     4.43E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  2.21E-02     3.60E-02     4.77E-02     5.15E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  2.15E-02     6.31E-02     1.07E-01     1.44E-01     1.54E-01     
Zn           30           0.00000E+00  0.00000E+00  2.22E-02     4.51E-02     6.70E-02     7.31E-02     
Ga           31           0.00000E+00  2.61E-02     9.82E-02     1.86E-01     2.60E-01     2.79E-01     
Ge           32           0.00000E+00  2.76E-02     1.02E-01     1.91E-01     2.67E-01     2.87E-01     
As           33           0.00000E+00  2.39E-02     8.81E-02     1.67E-01     2.37E-01     2.55E-01     
Se           34           0.00000E+00  3.55E-02     1.26E-01     2.27E-01     3.10E-01     3.31E-01     
Br           35           0.00000E+00  2.12E-02     7.77E-02     1.56E-01     2.26E-01     2.56E-01     
Kr           36           0.00000E+00  3.88E-02     1.38E-01     2.51E-01     3.43E-01     3.67E-01     
Rb           37           0.00000E+00  9.14E-02     2.20E-01     3.24E-01     3.99E-01     4.18E-01     
Sr           38           0.00000E+00  1.52E-01     5.08E-01     7.97E-01     9.85E-01     1.03E+00     
Y            39           0.00000E+00  1.76E-01     5.15E-01     7.80E-01     9.56E-01     9.98E-01     
Zr           40           0.00000E+00  1.63E-01     5.06E-01     7.82E-01     9.64E-01     1.01E+00     
Nb           41           0.00000E+00  1.15E-02     5.60E-02     1.51E-01     2.63E-01     3.54E-01     
Mo           42           0.00000E+00  7.20E-02     3.39E-01     5.93E-01     7.71E-01     8.14E-01     
Tc           43           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  4.05E-02     2.62E-01     5.05E-01     6.81E-01     7.28E-01     
Rh           45           0.00000E+00  1.84E-02     1.35E-01     2.93E-01     4.23E-01     4.57E-01     
Pd           46           0.00000E+00  6.26E-02     3.30E-01     6.01E-01     7.88E-01     8.33E-01     
Ag           47           0.00000E+00  1.99E-02     1.28E-01     2.78E-01     4.06E-01     4.41E-01     
Cd           48           0.00000E+00  9.19E-02     3.97E-01     6.79E-01     8.69E-01     9.15E-01     
In           49           0.00000E+00  5.95E-02     2.91E-01     5.34E-01     7.08E-01     7.50E-01     
Sn           50           0.00000E+00  1.04E-01     4.32E-01     7.23E-01     9.16E-01     9.62E-01     
Sb           51           0.00000E+00  4.98E-02     2.26E-01     4.19E-01     5.67E-01     6.04E-01     
Te           52           0.00000E+00  2.68E-02     1.76E-01     3.66E-01     5.16E-01     5.54E-01     
I            53           0.00000E+00  0.00000E+00  5.67E-02     1.38E-01     2.18E-01     2.40E-01     
Xe           54           0.00000E+00  2.67E-02     1.77E-01     3.71E-01     5.23E-01     5.62E-01     
Cs           55           0.00000E+00  5.58E-02     2.82E-01     4.60E-01     5.95E-01     6.29E-01     
Ba           56           0.00000E+00  7.79E-02     5.43E-01     9.22E-01     1.15E+00     1.21E+00     
La           57           0.00000E+00  5.43E-02     4.91E-01     8.68E-01     1.10E+00     1.15E+00     
Ce           58           0.00000E+00  3.57E-02     4.70E-01     8.65E-01     1.11E+00     1.16E+00     
Pr           59           0.00000E+00  2.49E-02     3.23E-01     6.36E-01     8.52E-01     9.03E-01     
Nd           60           0.00000E+00  1.81E-02     3.51E-01     7.10E-01     9.42E-01     9.95E-01     
Pm           61           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  2.10E-01     4.84E-01     6.88E-01     7.37E-01     
Eu           63           0.00000E+00  0.00000E+00  4.69E-02     1.34E-01     2.25E-01     2.51E-01     
Gd           64           0.00000E+00  0.00000E+00  1.10E-01     3.04E-01     4.65E-01     5.04E-01     
Tb           65           0.00000E+00  0.00000E+00  6.46E-02     1.99E-01     3.29E-01     3.63E-01     
Dy           66           0.00000E+00  0.00000E+00  1.19E-01     3.23E-01     4.92E-01     5.34E-01     
Ho           67           0.00000E+00  0.00000E+00  5.78E-02     1.74E-01     2.89E-01     3.20E-01     
Er           68           0.00000E+00  0.00000E+00  1.21E-01     3.28E-01     5.01E-01     5.45E-01     
Tm           69           0.00000E+00  0.00000E+00  7.77E-02     2.31E-01     3.77E-01     4.16E-01     
Yb           70           0.00000E+00  0.00000E+00  2.41E-01     5.48E-01     7.65E-01     8.17E-01     
