[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
C            6            -1.81E-01    2.22E-01     8.34E-01     1.15E+00     1.37E+00     1.52E+00     1.62E+00     1.69E+00     1.69E+00     
N            7            3.52E-01     3.96E-01     3.97E-01     3.98E-01     4.02E-01     4.07E-01     4.15E-01     4.27E-01     4.30E-01     
O            8            0.00000E+00  0.00000E+00  2.28E-02     5.81E-02     9.77E-02     1.34E-01     1.63E-01     1.83E-01     1.83E-01     
F            9            0.00000E+00  -1.27E-02    3.78E-01     6.80E-01     9.03E-01     1.08E+00     1.22E+00     1.32E+00     1.32E+00     
Ne           10           0.00000E+00  0.00000E+00  7.98E-02     2.10E-01     3.55E-01     4.94E-01     6.15E-01     7.07E-01     7.09E-01     
Na           11           7.97E-02     1.09E-01     1.17E-01     1.36E-01     1.68E-01     2.10E-01     2.57E-01     3.01E-01     3.03E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.57E-02     2.93E-02     4.64E-02     6.44E-02     6.51E-02     
Al           13           0.00000E+00  0.00000E+00  1.34E-02     2.30E-02     3.18E-02     3.90E-02     4.43E-02     4.81E-02     4.80E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  1.45E-02     2.59E-02     3.73E-02     4.70E-02     5.41E-02     5.43E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     1.34E-02     1.34E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.21E-02     1.25E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  1.89E-02     3.00E-02     4.25E-02     5.49E-02     6.57E-02     6.60E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     1.12E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
