[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
C            6            -1.81E-01    2.58E-01     8.39E-01     1.15E+00     1.36E+00     1.51E+00     1.61E+00     1.69E+00     1.69E+00     
N            7            3.52E-01     3.96E-01     3.97E-01     3.99E-01     4.03E-01     4.08E-01     4.16E-01     4.28E-01     4.31E-01     
O            8            0.00000E+00  0.00000E+00  2.72E-02     6.73E-02     1.11E-01     1.49E-01     1.79E-01     2.00E-01     2.01E-01     
F            9            0.00000E+00  -1.02E-02    3.96E-01     6.95E-01     9.15E-01     1.08E+00     1.22E+00     1.32E+00     1.32E+00     
Ne           10           0.00000E+00  0.00000E+00  8.15E-02     2.12E-01     3.57E-01     4.92E-01     6.12E-01     7.04E-01     7.06E-01     
Na           11           7.97E-02     1.10E-01     1.18E-01     1.43E-01     1.84E-01     2.34E-01     2.87E-01     3.35E-01     3.37E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     2.27E-02     3.95E-02     5.97E-02     8.01E-02     8.07E-02     
Al           13           0.00000E+00  0.00000E+00  1.24E-02     2.06E-02     2.79E-02     3.38E-02     3.85E-02     4.20E-02     4.19E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  2.01E-02     4.71E-02     7.54E-02     9.97E-02     1.19E-01     1.32E-01     1.33E-01     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  1.25E-02     1.90E-02     2.52E-02     3.08E-02     3.52E-02     3.52E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     1.42E-02     1.75E-02     2.03E-02     2.07E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  2.91E-02     5.08E-02     7.29E-02     9.39E-02     1.13E-01     1.29E-01     1.29E-01     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     1.99E-02     2.67E-02     3.24E-02     3.65E-02     3.66E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  2.41E-02     3.93E-02     5.41E-02     6.90E-02     8.48E-02     1.00E-01     1.03E-01     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.16E-02     1.26E-02     1.25E-02     
Cu           29           0.00000E+00  1.93E-02     9.07E-02     1.42E-01     1.82E-01     2.14E-01     2.39E-01     2.60E-01     2.60E-01     
Zn           30           0.00000E+00  0.00000E+00  3.65E-02     7.43E-02     1.08E-01     1.34E-01     1.54E-01     1.68E-01     1.69E-01     
Ga           31           0.00000E+00  2.74E-02     1.66E-01     2.89E-01     3.78E-01     4.38E-01     4.80E-01     5.09E-01     5.10E-01     
