[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        
C            6            -1.69E-01    2.16E-01     5.54E-01     7.82E-01     9.40E-01     1.05E+00     1.06E+00     
N            7            3.38E-01     3.62E-01     3.62E-01     3.62E-01     3.63E-01     3.65E-01     3.67E-01     
O            8            0.00000E+00  0.00000E+00  1.22E-02     2.38E-02     3.48E-02     4.39E-02     4.50E-02     
F            9            0.00000E+00  7.54E-02     2.38E-01     4.03E-01     5.47E-01     6.64E-01     6.82E-01     
Ne           10           0.00000E+00  1.42E-02     6.02E-02     1.25E-01     1.96E-01     2.64E-01     2.75E-01     
Na           11           5.83E-02     7.84E-02     8.62E-02     9.84E-02     1.14E-01     1.30E-01     1.35E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.36E-02     1.46E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.40E-02     1.75E-02     1.79E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  1.56E-02     2.25E-02     2.83E-02     2.91E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  1.81E-02     2.76E-02     3.64E-02     4.46E-02     4.59E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
