[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
C            6            -1.82E-01    1.13E+00     1.57E+00     1.82E+00     1.98E+00     2.10E+00     2.19E+00     2.27E+00     2.31E+00     
N            7            3.54E-01     4.50E-01     4.57E-01     4.68E-01     4.85E-01     5.06E-01     5.32E-01     5.63E-01     6.03E-01     
O            8            4.99E-01     5.17E-01     5.63E-01     6.11E-01     6.54E-01     6.90E-01     7.20E-01     7.44E-01     7.59E-01     
F            9            0.00000E+00  1.39E+00     1.74E+00     1.91E+00     2.02E+00     2.11E+00     2.17E+00     2.23E+00     2.27E+00     
Ne           10           4.77E-01     6.29E-01     8.37E-01     9.96E-01     1.12E+00     1.22E+00     1.31E+00     1.40E+00     1.45E+00     
Na           11           8.34E-02     2.12E-01     3.98E-01     5.45E-01     6.44E-01     7.21E-01     7.90E-01     8.56E-01     9.07E-01     
Mg           12           4.33E-01     4.36E-01     4.50E-01     4.73E-01     5.00E-01     5.30E-01     5.63E-01     5.98E-01     6.24E-01     
Al           13           0.00000E+00  4.64E-02     8.98E-02     1.19E-01     1.38E-01     1.51E-01     1.60E-01     1.68E-01     1.73E-01     
Si           14           4.76E-01     4.77E-01     4.78E-01     4.80E-01     4.81E-01     4.82E-01     4.83E-01     4.84E-01     4.84E-01     
P            15           0.00000E+00  4.01E-02     1.07E-01     1.70E-01     2.22E-01     2.66E-01     3.03E-01     3.34E-01     3.53E-01     
S            16           4.85E-01     4.85E-01     4.86E-01     4.86E-01     4.87E-01     4.87E-01     4.87E-01     4.88E-01     4.88E-01     
Cl           17           0.00000E+00  1.26E-02     3.34E-02     5.56E-02     7.65E-02     9.46E-02     1.10E-01     1.22E-01     1.30E-01     
Ar           18           4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.51E-01     4.51E-01     
K            19           0.00000E+00  0.00000E+00  1.93E-02     3.12E-02     4.26E-02     5.29E-02     6.21E-02     7.04E-02     7.61E-02     
Ca           20           4.91E-01     4.91E-01     4.91E-01     4.91E-01     4.91E-01     4.90E-01     4.90E-01     4.90E-01     4.90E-01     
Sc           21           0.00000E+00  3.91E-02     9.69E-02     1.56E-01     2.11E-01     2.57E-01     2.96E-01     3.27E-01     3.47E-01     
Ti           22           0.00000E+00  0.00000E+00  2.84E-02     4.99E-02     7.09E-02     8.91E-02     1.04E-01     1.16E-01     1.23E-01     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.48E-02     2.03E-02     2.51E-02     2.91E-02     3.15E-02     
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  1.45E-02     3.17E-02     4.90E-02     6.76E-02     8.74E-02     1.09E-01     1.31E-01     1.48E-01     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     1.44E-02     1.62E-02     1.79E-02     1.90E-02     
Cu           29           0.00000E+00  9.03E-02     1.73E-01     2.32E-01     2.76E-01     3.10E-01     3.38E-01     3.64E-01     3.80E-01     
Zn           30           0.00000E+00  4.04E-02     9.50E-02     1.40E-01     1.74E-01     2.01E-01     2.22E-01     2.39E-01     2.50E-01     
Ga           31           0.00000E+00  1.52E-01     3.20E-01     4.31E-01     5.06E-01     5.59E-01     5.98E-01     6.27E-01     6.45E-01     
Ge           32           0.00000E+00  1.56E-01     3.39E-01     4.64E-01     5.49E-01     6.09E-01     6.53E-01     6.86E-01     7.05E-01     
As           33           0.00000E+00  1.37E-01     3.07E-01     4.29E-01     5.15E-01     5.76E-01     6.20E-01     6.54E-01     6.73E-01     
Se           34           0.00000E+00  1.84E-01     3.88E-01     5.26E-01     6.21E-01     6.88E-01     7.36E-01     7.72E-01     7.92E-01     
Br           35           0.00000E+00  1.03E-01     2.50E-01     3.71E-01     4.66E-01     5.38E-01     5.94E-01     6.38E-01     6.68E-01     
Kr           36           0.00000E+00  2.03E-01     4.29E-01     5.78E-01     6.80E-01     7.51E-01     8.03E-01     8.43E-01     8.66E-01     
Rb           37           0.00000E+00  2.73E-01     4.97E-01     6.65E-01     7.96E-01     8.94E-01     9.71E-01     1.03E+00     1.07E+00     
Sr           38           0.00000E+00  6.03E-01     1.04E+00     1.27E+00     1.41E+00     1.50E+00     1.57E+00     1.61E+00     1.63E+00     
