[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        
C            6            -1.58E-01    -1.17E-01    1.15E-01     3.63E-01     5.49E-01     6.93E-01     7.64E-01     7.68E-01     
N            7            3.26E-01     3.43E-01     3.43E-01     3.43E-01     3.43E-01     3.43E-01     3.44E-01     3.45E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.26E-02     1.84E-02     2.14E-02     2.14E-02     
F            9            0.00000E+00  0.00000E+00  4.97E-02     1.47E-01     2.58E-01     3.69E-01     4.37E-01     4.40E-01     
Ne           10           0.00000E+00  0.00000E+00  1.62E-02     5.09E-02     9.61E-02     1.47E-01     1.81E-01     1.83E-01     
Na           11           4.34E-02     5.47E-02     6.01E-02     7.05E-02     8.40E-02     9.97E-02     1.11E-01     1.12E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.05E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  1.46E-02     2.60E-02     3.72E-02     4.32E-02     4.35E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.55E-02     2.16E-02     2.52E-02     2.53E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.17E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  1.18E-02     2.53E-02     3.85E-02     5.13E-02     5.89E-02     5.92E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.28E-02     1.51E-02     1.52E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  1.33E-02     2.79E-02     4.08E-02     5.25E-02     5.97E-02     6.11E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  3.58E-02     7.52E-02     1.09E-01     1.37E-01     1.52E-01     1.52E-01     
Zn           30           0.00000E+00  0.00000E+00  1.30E-02     3.70E-02     6.23E-02     8.50E-02     9.66E-02     9.71E-02     
Ga           31           0.00000E+00  0.00000E+00  6.07E-02     1.58E-01     2.46E-01     3.17E-01     3.50E-01     3.51E-01     
Ge           32           0.00000E+00  0.00000E+00  5.64E-02     1.46E-01     2.29E-01     2.98E-01     3.31E-01     3.32E-01     
As           33           0.00000E+00  0.00000E+00  3.76E-02     9.95E-02     1.61E-01     2.13E-01     2.39E-01     2.40E-01     
Se           34           0.00000E+00  0.00000E+00  7.27E-02     1.77E-01     2.69E-01     3.43E-01     3.77E-01     3.77E-01     
Br           35           0.00000E+00  0.00000E+00  3.93E-02     1.08E-01     1.82E-01     2.46E-01     2.84E-01     3.00E-01     
Kr           36           0.00000E+00  0.00000E+00  8.18E-02     2.13E-01     3.29E-01     4.19E-01     4.61E-01     4.62E-01     
Rb           37           0.00000E+00  0.00000E+00  1.59E-01     2.87E-01     3.82E-01     4.54E-01     4.89E-01     4.90E-01     
Sr           38           0.00000E+00  0.00000E+00  3.22E-01     7.03E-01     9.48E-01     1.11E+00     1.18E+00     1.18E+00     
Y            39           0.00000E+00  0.00000E+00  3.49E-01     6.97E-01     9.24E-01     1.08E+00     1.14E+00     1.15E+00     
Zr           40           0.00000E+00  0.00000E+00  3.41E-01     7.00E-01     9.33E-01     1.09E+00     1.16E+00     1.16E+00     
Nb           41           0.00000E+00  0.00000E+00  2.73E-02     1.07E-01     2.26E-01     3.43E-01     4.41E-01     5.13E-01     
Mo           42           0.00000E+00  0.00000E+00  1.93E-01     5.11E-01     7.39E-01     8.96E-01     9.64E-01     9.67E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  1.34E-01     4.04E-01     6.22E-01     7.77E-01     8.47E-01     8.55E-01     
Rh           45           0.00000E+00  0.00000E+00  6.93E-02     2.36E-01     3.94E-01     5.17E-01     5.74E-01     5.77E-01     
Pd           46           0.00000E+00  0.00000E+00  2.16E-01     5.47E-01     7.84E-01     9.45E-01     1.01E+00     1.02E+00     
Ag           47           0.00000E+00  0.00000E+00  7.11E-02     2.28E-01     3.76E-01     4.93E-01     5.48E-01     5.52E-01     
Cd           48           0.00000E+00  0.00000E+00  2.90E-01     6.43E-01     8.83E-01     1.04E+00     1.11E+00     1.12E+00     
In           49           0.00000E+00  0.00000E+00  2.02E-01     4.95E-01     7.13E-01     8.65E-01     9.33E-01     9.35E-01     
Sn           50           0.00000E+00  0.00000E+00  3.34E-01     7.02E-01     9.43E-01     1.10E+00     1.17E+00     1.18E+00     
Sb           51           0.00000E+00  0.00000E+00  1.83E-01     4.17E-01     6.01E-01     7.35E-01     7.97E-01     8.00E-01     
