[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        
C            6            -1.45E-01    -8.18E-02    4.54E-02     1.75E-01     2.84E-01     3.03E-01     
N            7            3.09E-01     3.21E-01     3.21E-01     3.21E-01     3.20E-01     3.22E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            0.00000E+00  1.08E-02     4.33E-02     9.67E-02     1.59E-01     1.73E-01     
Ne           10           0.00000E+00  0.00000E+00  1.95E-02     4.13E-02     6.62E-02     7.16E-02     
Na           11           2.74E-02     3.30E-02     3.92E-02     4.78E-02     5.74E-02     6.03E-02     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.50E-02     1.58E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  1.37E-02     1.91E-02     2.07E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  1.56E-02     2.20E-02     2.32E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.13E-02     
Ga           31           0.00000E+00  0.00000E+00  1.75E-02     3.83E-02     6.01E-02     6.44E-02     
Ge           32           0.00000E+00  0.00000E+00  1.73E-02     3.76E-02     5.91E-02     6.33E-02     
As           33           0.00000E+00  0.00000E+00  1.16E-02     2.54E-02     4.03E-02     4.32E-02     
Se           34           0.00000E+00  0.00000E+00  2.75E-02     5.74E-02     8.74E-02     9.26E-02     
Br           35           0.00000E+00  0.00000E+00  1.48E-02     3.45E-02     5.61E-02     6.37E-02     
Kr           36           0.00000E+00  0.00000E+00  3.69E-02     7.81E-02     1.20E-01     1.27E-01     
Rb           37           0.00000E+00  2.14E-02     6.10E-02     1.04E-01     1.42E-01     1.48E-01     
Sr           38           0.00000E+00  5.92E-02     2.49E-01     4.57E-01     6.14E-01     6.39E-01     
Y            39           0.00000E+00  6.30E-02     2.50E-01     4.48E-01     5.98E-01     6.21E-01     
Zr           40           0.00000E+00  5.36E-02     2.39E-01     4.42E-01     5.97E-01     6.20E-01     
Nb           41           0.00000E+00  0.00000E+00  1.49E-02     4.87E-02     9.77E-02     1.40E-01     
Mo           42           0.00000E+00  2.14E-02     1.41E-01     3.02E-01     4.36E-01     4.58E-01     
Tc           43           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  1.31E-02     9.90E-02     2.30E-01     3.48E-01     3.71E-01     
Rh           45           0.00000E+00  0.00000E+00  4.96E-02     1.22E-01     1.95E-01     2.07E-01     
Pd           46           0.00000E+00  2.31E-02     1.50E-01     3.21E-01     4.62E-01     4.85E-01     
Ag           47           0.00000E+00  0.00000E+00  4.61E-02     1.13E-01     1.80E-01     1.92E-01     
Cd           48           0.00000E+00  3.09E-02     1.84E-01     3.75E-01     5.28E-01     5.51E-01     
In           49           0.00000E+00  1.88E-02     1.23E-01     2.69E-01     3.94E-01     4.14E-01     
Sn           50           0.00000E+00  2.92E-02     1.89E-01     3.89E-01     5.46E-01     5.70E-01     
Sb           51           0.00000E+00  1.23E-02     8.13E-02     1.83E-01     2.76E-01     2.92E-01     
Te           52           0.00000E+00  0.00000E+00  6.10E-02     1.53E-01     2.42E-01     2.57E-01     
I            53           0.00000E+00  0.00000E+00  1.71E-02     4.74E-02     8.12E-02     8.73E-02     
Xe           54           0.00000E+00  0.00000E+00  5.97E-02     1.51E-01     2.40E-01     2.54E-01     
Cs           55           0.00000E+00  1.32E-02     9.45E-02     1.89E-01     2.74E-01     2.88E-01     
Ba           56           0.00000E+00  1.48E-02     1.98E-01     4.42E-01     6.25E-01     6.52E-01     
La           57           0.00000E+00  0.00000E+00  1.61E-01     3.86E-01     5.60E-01     5.86E-01     
Ce           58           0.00000E+00  0.00000E+00  1.26E-01     3.25E-01     4.89E-01     5.14E-01     
Pr           59           0.00000E+00  0.00000E+00  7.20E-02     1.96E-01     3.13E-01     3.33E-01     
Nd           60           0.00000E+00  0.00000E+00  7.55E-02     2.17E-01     3.47E-01     3.68E-01     
Pm           61           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  3.63E-02     1.14E-01     1.97E-01     2.11E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  1.96E-02     3.72E-02     4.06E-02     
Gd           64           0.00000E+00  0.00000E+00  1.66E-02     5.87E-02     1.07E-01     1.15E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  3.23E-02     6.16E-02     6.70E-02     
Dy           66           0.00000E+00  0.00000E+00  1.80E-02     6.17E-02     1.11E-01     1.20E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  2.75E-02     5.22E-02     5.66E-02     
Er           68           0.00000E+00  0.00000E+00  1.78E-02     6.24E-02     1.14E-01     1.24E-01     
Tm           69           0.00000E+00  0.00000E+00  1.43E-02     5.10E-02     9.62E-02     1.05E-01     
Yb           70           0.00000E+00  0.00000E+00  3.96E-02     1.26E-01     2.16E-01     2.32E-01     
Lu           71           0.00000E+00  0.00000E+00  1.80E-02     6.78E-02     1.25E-01     1.36E-01     
Hf           72           0.00000E+00  0.00000E+00  5.08E-02     1.56E-01     2.63E-01     2.81E-01     
Ta           73           0.00000E+00  0.00000E+00  3.83E-02     1.22E-01     2.13E-01     2.29E-01     
W            74           0.00000E+00  0.00000E+00  5.07E-02     1.57E-01     2.64E-01     2.83E-01     
Re           75           -1.09E-01    -1.10E-01    -9.32E-02    -5.85E-02    -1.52E-02    0.00000E+00  
Os           76           0.00000E+00  0.00000E+00  1.35E-02     3.27E-02     5.68E-02     6.14E-02     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  1.78E-02     3.52E-02     3.86E-02     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  1.34E-02     2.72E-02     2.99E-02     
Hg           80           0.00000E+00  0.00000E+00  3.45E-02     1.15E-01     2.04E-01     2.20E-01     
Tl           81           0.00000E+00  0.00000E+00  4.12E-02     1.42E-01     2.53E-01     2.71E-01     
Pb           82           0.00000E+00  0.00000E+00  1.44E-02     6.61E-02     1.38E-01     1.52E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
