[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
C            6            -1.95E-01    -1.35E-01    0.00000E+00  1.60E-01     3.00E-01     4.12E-01     5.07E-01     5.87E-01     6.60E-01     7.00E-01     
N            7            3.67E-01     3.73E-01     3.73E-01     3.73E-01     3.72E-01     3.71E-01     3.70E-01     3.68E-01     3.67E-01     3.67E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.16E-02     1.18E-02     
F            9            0.00000E+00  3.98E-02     1.76E-01     3.01E-01     4.01E-01     4.76E-01     5.39E-01     5.93E-01     6.48E-01     6.80E-01     
Ne           10           0.00000E+00  0.00000E+00  2.19E-02     4.97E-02     8.42E-02     1.19E-01     1.56E-01     1.93E-01     2.33E-01     2.57E-01     
Na           11           9.16E-02     9.71E-02     1.05E-01     1.16E-01     1.30E-01     1.43E-01     1.56E-01     1.70E-01     1.85E-01     1.95E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.26E-02     1.65E-02     1.93E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  1.16E-02     1.87E-02     2.55E-02     3.19E-02     3.79E-02     4.36E-02     4.66E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.65E-02     2.22E-02     2.76E-02     3.24E-02     3.70E-02     3.95E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.42E-02     1.67E-02     1.83E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
