[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
C            6            -1.96E-01    -1.46E-01    0.00000E+00  1.66E-01     3.11E-01     4.25E-01     5.17E-01     5.96E-01     6.69E-01     7.20E-01     
N            7            3.67E-01     3.74E-01     3.74E-01     3.73E-01     3.73E-01     3.71E-01     3.70E-01     3.69E-01     3.68E-01     3.67E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.14E-02     1.18E-02     
F            9            0.00000E+00  0.00000E+00  2.43E-02     8.18E-02     1.58E-01     2.37E-01     3.16E-01     3.94E-01     4.73E-01     5.34E-01     
Ne           10           0.00000E+00  0.00000E+00  1.30E-02     3.66E-02     6.85E-02     1.04E-01     1.41E-01     1.79E-01     2.21E-01     2.55E-01     
Na           11           9.10E-02     9.51E-02     9.98E-02     1.08E-01     1.18E-01     1.30E-01     1.43E-01     1.57E-01     1.73E-01     1.86E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.25E-02     1.57E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.15E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  1.21E-02     2.05E-02     2.83E-02     3.53E-02     4.15E-02     4.74E-02     5.15E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     1.71E-02     2.18E-02     2.65E-02     3.12E-02     3.47E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.24E-02     1.46E-02     1.65E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  1.14E-02     2.08E-02     3.05E-02     3.98E-02     4.89E-02     5.79E-02     6.76E-02     7.53E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.42E-02     1.64E-02     1.80E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  1.18E-02     2.05E-02     2.86E-02     3.57E-02     4.27E-02     4.99E-02     5.80E-02     6.52E-02     
