[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
C            6            -2.43E-01    -2.65E-01    4.65E-01     8.99E-01     1.17E+00     1.36E+00     1.49E+00     1.60E+00     1.69E+00     1.76E+00     1.82E+00     
N            7            4.22E-01     4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.53E-01     4.53E-01     4.54E-01     4.56E-01     4.58E-01     4.63E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  3.09E-02     6.79E-02     1.04E-01     1.36E-01     1.62E-01     1.84E-01     2.04E-01     2.23E-01     
F            9            -2.97E-02    -3.77E-02    1.82E-01     5.45E-01     8.13E-01     1.01E+00     1.15E+00     1.27E+00     1.38E+00     1.48E+00     1.57E+00     
Ne           10           0.00000E+00  0.00000E+00  1.28E-02     1.05E-01     2.40E-01     3.81E-01     5.13E-01     6.35E-01     7.48E-01     8.55E-01     9.56E-01     
Na           11           1.46E-01     1.64E-01     1.68E-01     1.78E-01     2.06E-01     2.49E-01     2.99E-01     3.55E-01     4.14E-01     4.78E-01     5.47E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.42E-02     3.00E-02     5.21E-02     8.06E-02     1.16E-01     1.58E-01     2.07E-01     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  1.97E-02     3.22E-02     4.29E-02     5.17E-02     5.93E-02     6.62E-02     7.33E-02     8.07E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  1.13E-02     3.79E-02     6.98E-02     9.91E-02     1.23E-01     1.44E-01     1.61E-01     1.78E-01     1.93E-01     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.56E-02     2.10E-02     2.62E-02     3.13E-02     3.64E-02     4.14E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.37E-02     1.72E-02     2.10E-02     2.51E-02     2.95E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  1.94E-02     3.80E-02     5.75E-02     7.90E-02     1.02E-01     1.27E-01     1.52E-01     1.79E-01     2.06E-01     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.58E-02     2.26E-02     2.88E-02     3.42E-02     3.93E-02     4.41E-02     4.88E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  1.16E-02     2.25E-02     3.32E-02     4.65E-02     6.50E-02     8.92E-02     1.18E-01     1.51E-01     1.86E-01     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.11E-02     1.29E-02     1.49E-02     1.72E-02     
Cu           29           0.00000E+00  0.00000E+00  5.27E-02     1.01E-01     1.40E-01     1.72E-01     2.03E-01     2.36E-01     2.72E-01     3.10E-01     3.50E-01     
Zn           30           0.00000E+00  0.00000E+00  2.02E-02     5.53E-02     8.74E-02     1.13E-01     1.35E-01     1.54E-01     1.72E-01     1.91E-01     2.10E-01     
