[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       
C            6            -2.24E-01    -2.06E-01    2.00E-01     5.34E-01     7.55E-01     9.10E-01     1.02E+00     1.11E+00     1.19E+00     1.25E+00     1.30E+00     1.30E+00     
N            7            3.98E-01     4.10E-01     4.10E-01     4.09E-01     4.08E-01     4.08E-01     4.07E-01     4.06E-01     4.06E-01     4.06E-01     4.07E-01     4.07E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     2.26E-02     3.33E-02     4.22E-02     4.95E-02     5.59E-02     6.18E-02     6.64E-02     6.65E-02     
F            9            -2.04E-02    -2.27E-02    8.35E-02     2.62E-01     4.25E-01     5.64E-01     6.81E-01     7.86E-01     8.80E-01     9.68E-01     1.04E+00     1.04E+00     
Ne           10           0.00000E+00  0.00000E+00  1.97E-02     7.45E-02     1.44E-01     2.18E-01     2.91E-01     3.61E-01     4.29E-01     4.96E-01     5.54E-01     5.55E-01     
Na           11           1.25E-01     1.33E-01     1.37E-01     1.47E-01     1.61E-01     1.78E-01     1.97E-01     2.18E-01     2.42E-01     2.68E-01     2.94E-01     2.95E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.57E-02     2.27E-02     3.13E-02     4.18E-02     5.29E-02     5.31E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     1.57E-02     1.89E-02     2.18E-02     2.45E-02     2.69E-02     2.68E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.74E-02     2.51E-02     3.21E-02     3.85E-02     4.44E-02     5.00E-02     5.45E-02     5.45E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.30E-02     1.52E-02     1.71E-02     1.71E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     1.37E-02     1.56E-02     1.59E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  2.08E-02     3.07E-02     4.01E-02     4.95E-02     5.93E-02     6.99E-02     8.10E-02     9.10E-02     9.11E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.29E-02     1.53E-02     1.76E-02     1.94E-02     1.94E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  1.59E-02     3.44E-02     4.90E-02     6.03E-02     7.00E-02     7.98E-02     9.06E-02     1.03E-01     1.15E-01     1.18E-01     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  2.31E-02     4.80E-02     6.68E-02     8.04E-02     9.09E-02     1.00E-01     1.09E-01     1.19E-01     1.29E-01     1.29E-01     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.41E-02     1.99E-02     2.50E-02     2.95E-02     3.39E-02     3.81E-02     4.16E-02     4.17E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  2.83E-02     4.84E-02     6.75E-02     8.51E-02     1.02E-01     1.19E-01     1.34E-01     1.46E-01     1.47E-01     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  2.43E-02     4.28E-02     6.12E-02     7.89E-02     9.59E-02     1.14E-01     1.31E-01     1.43E-01     1.44E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  1.50E-02     2.70E-02     3.91E-02     5.11E-02     6.29E-02     7.61E-02     8.80E-02     9.71E-02     9.72E-02     
Se           34           0.00000E+00  0.00000E+00  1.08E-02     3.23E-02     5.62E-02     7.98E-02     1.02E-01     1.24E-01     1.48E-01     1.69E-01     1.85E-01     1.85E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  1.83E-02     3.40E-02     5.06E-02     6.76E-02     8.45E-02     1.03E-01     1.20E-01     1.34E-01     1.39E-01     
Kr           36           0.00000E+00  0.00000E+00  1.90E-02     5.51E-02     9.48E-02     1.33E-01     1.68E-01     2.01E-01     2.36E-01     2.66E-01     2.89E-01     2.90E-01     
Rb           37           0.00000E+00  0.00000E+00  5.08E-02     1.07E-01     1.54E-01     1.95E-01     2.34E-01     2.73E-01     3.17E-01     3.60E-01     3.95E-01     3.95E-01     
Sr           38           0.00000E+00  0.00000E+00  8.60E-02     2.87E-01     4.73E-01     6.17E-01     7.28E-01     8.20E-01     9.01E-01     9.64E-01     1.01E+00     1.01E+00     
Y            39           0.00000E+00  0.00000E+00  1.20E-01     3.27E-01     5.07E-01     6.48E-01     7.59E-01     8.52E-01     9.35E-01     1.00E+00     1.05E+00     1.05E+00     
Zr           40           0.00000E+00  0.00000E+00  1.62E-01     3.98E-01     5.86E-01     7.26E-01     8.34E-01     9.24E-01     1.00E+00     1.07E+00     1.11E+00     1.11E+00     
