[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       
C            6            -2.07E-01    -2.15E-01    -1.76E-01    3.73E-02     2.79E-01     4.66E-01     6.08E-01     7.16E-01     8.04E-01     8.77E-01     9.45E-01     9.82E-01     
N            7            3.80E-01     3.89E-01     3.89E-01     3.89E-01     3.89E-01     3.88E-01     3.87E-01     3.86E-01     3.85E-01     3.84E-01     3.83E-01     3.84E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     1.76E-02     2.21E-02     2.57E-02     2.86E-02     3.12E-02     3.25E-02     
F            9            -1.37E-02    -1.44E-02    -1.14E-02    4.18E-02     1.38E-01     2.41E-01     3.42E-01     4.36E-01     5.26E-01     6.12E-01     6.96E-01     7.47E-01     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  1.38E-02     4.80E-02     9.24E-02     1.41E-01     1.91E-01     2.41E-01     2.92E-01     3.45E-01     3.78E-01     
Na           11           1.05E-01     1.10E-01     1.11E-01     1.16E-01     1.26E-01     1.39E-01     1.54E-01     1.69E-01     1.86E-01     2.04E-01     2.24E-01     2.39E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     1.56E-02     2.06E-02     2.68E-02     3.14E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.35E-02     1.56E-02     1.69E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.52E-02     4.04E-02     5.35E-02     6.40E-02     7.28E-02     8.05E-02     8.76E-02     9.15E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     1.67E-02     2.18E-02     2.68E-02     3.17E-02     3.66E-02     3.95E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     1.47E-02     1.71E-02     1.97E-02     2.15E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  1.84E-02     3.42E-02     4.77E-02     5.99E-02     7.11E-02     8.23E-02     9.35E-02     1.05E-01     1.13E-01     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.63E-02     2.02E-02     2.37E-02     2.68E-02     2.97E-02     3.13E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.69E-02     2.41E-02     3.12E-02     3.88E-02     4.72E-02     5.64E-02     6.68E-02     7.47E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  4.82E-02     9.29E-02     1.27E-01     1.52E-01     1.71E-01     1.88E-01     2.03E-01     2.17E-01     2.26E-01     
