[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
C            6            -2.08E-01    -1.84E-01    -3.50E-02    1.48E-01     3.06E-01     4.32E-01     5.36E-01     6.25E-01     7.04E-01     7.78E-01     7.96E-01     
N            7            3.79E-01     3.86E-01     3.86E-01     3.86E-01     3.85E-01     3.84E-01     3.83E-01     3.82E-01     3.81E-01     3.80E-01     3.81E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.18E-02     1.28E-02     1.28E-02     
F            9            -1.17E-02    -1.07E-02    1.73E-02     7.92E-02     1.59E-01     2.43E-01     3.28E-01     4.11E-01     4.94E-01     5.77E-01     5.99E-01     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  3.06E-02     6.08E-02     9.55E-02     1.33E-01     1.73E-01     2.17E-01     2.64E-01     2.76E-01     
Na           11           1.00E-01     1.04E-01     1.07E-01     1.13E-01     1.22E-01     1.31E-01     1.42E-01     1.53E-01     1.66E-01     1.82E-01     1.87E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.33E-02     1.46E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.36E-02     1.42E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.33E-02     1.75E-02     2.16E-02     2.55E-02     2.94E-02     3.02E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
