[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
C            6            -1.89e-01    -1.33e-01    -2.99e-02    8.73e-02     1.97e-01     2.89e-01     3.65e-01     4.32e-01     4.92e-01     5.13e-01     
N            7            3.60e-01     3.66e-01     3.66e-01     3.65e-01     3.64e-01     3.63e-01     3.62e-01     3.61e-01     3.60e-01     3.60e-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            0.00000E+00  1.80e-02     8.43e-02     1.65e-01     2.43e-01     3.11e-01     3.67e-01     4.21e-01     4.71e-01     4.90e-01     
Ne           10           0.00000E+00  0.00000E+00  1.64e-02     3.70e-02     6.21e-02     8.90e-02     1.16e-01     1.44e-01     1.72e-01     1.83e-01     
Na           11           8.25e-02     8.67e-02     9.23e-02     1.00e-01     1.10e-01     1.19e-01     1.29e-01     1.39e-01     1.50e-01     1.55e-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.10e-02     1.34e-02     1.55e-02     1.61e-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08e-02     1.31e-02     1.51e-02     1.69e-02     1.76e-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.25e-02     1.73e-02     2.20e-02     2.70e-02     3.21e-02     3.41e-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     
Co           27           0.00000E+00  0.00000E+00  1.07e-02     1.87e-02     2.62e-02     3.25e-02     3.78e-02     4.29e-02     4.79e-02     5.08e-02     
