[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
C            6            -1.88e-01    -1.44e-01    -4.95e-02    6.88e-02     1.78e-01     2.73e-01     3.51e-01     4.19e-01     4.80e-01     
N            7            3.60e-01     3.66e-01     3.66e-01     3.65e-01     3.64e-01     3.63e-01     3.62e-01     3.61e-01     3.60e-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            0.00000E+00  0.00000E+00  5.48e-02     1.36e-01     2.18e-01     2.93e-01     3.56e-01     4.11e-01     4.62e-01     
Ne           10           0.00000E+00  0.00000E+00  1.22e-02     3.15e-02     5.59e-02     8.28e-02     1.10e-01     1.37e-01     1.65e-01     
Na           11           8.31e-02     8.60e-02     9.08e-02     9.81e-02     1.07e-01     1.17e-01     1.27e-01     1.36e-01     1.47e-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07e-02     1.29e-02     1.50e-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.11e-02     1.37e-02     1.60e-02     1.80e-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.32e-02     1.79e-02     2.27e-02     2.75e-02     3.26e-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  1.53e-02     2.26e-02     2.94e-02     3.52e-02     4.05e-02     4.56e-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  1.32e-02     2.73e-02     4.21e-02     5.59e-02     6.72e-02     7.62e-02     8.35e-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  1.40e-02     2.38e-02     3.37e-02     4.21e-02     4.90e-02     5.45e-02     
Ga           31           0.00000E+00  0.00000E+00  2.56e-02     6.51e-02     1.06e-01     1.46e-01     1.78e-01     2.05e-01     2.26e-01     
Ge           32           0.00000E+00  0.00000E+00  2.30e-02     5.84e-02     9.56e-02     1.33e-01     1.64e-01     1.90e-01     2.12e-01     
As           33           0.00000E+00  0.00000E+00  1.47e-02     3.76e-02     6.21e-02     8.74e-02     1.10e-01     1.29e-01     1.46e-01     
Se           34           0.00000E+00  0.00000E+00  2.96e-02     7.16e-02     1.12e-01     1.53e-01     1.89e-01     2.19e-01     2.46e-01     
