[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       
C            6            -2.17E-01    -1.55E-01    -6.29E-02    6.66E-02     1.96E-01     3.05E-01     3.96E-01     4.73E-01     5.38E-01     5.95E-01     6.46E-01     6.93E-01     7.38E-01     7.82E-01     8.24E-01     
N            7            4.29E-01     4.30E-01     4.30E-01     4.30E-01     4.29E-01     4.28E-01     4.27E-01     4.26E-01     4.25E-01     4.24E-01     4.22E-01     4.21E-01     4.20E-01     4.19E-01     4.17E-01     
O            8            -1.53E-02    -1.53E-02    -1.47E-02    -1.34E-02    -1.16E-02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            -2.53E-02    -2.10E-02    0.00000E+00  4.20E-02     1.04E-01     1.70E-01     2.37E-01     3.01E-01     3.64E-01     4.24E-01     4.82E-01     5.39E-01     5.96E-01     6.55E-01     7.11E-01     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  2.49E-02     4.96E-02     7.77E-02     1.07E-01     1.37E-01     1.68E-01     1.98E-01     2.29E-01     2.61E-01     2.93E-01     3.28E-01     3.64E-01     
Na           11           1.23E-01     1.24E-01     1.27E-01     1.33E-01     1.41E-01     1.51E-01     1.61E-01     1.72E-01     1.84E-01     1.95E-01     2.08E-01     2.21E-01     2.36E-01     2.53E-01     2.71E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.48E-02     1.86E-02     2.30E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     1.20E-02     1.34E-02     1.48E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.32E-02     1.72E-02     2.08E-02     2.41E-02     2.72E-02     3.01E-02     3.29E-02     3.57E-02     3.85E-02     4.11E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.18E-02     1.34E-02     1.51E-02     1.69E-02     1.87E-02     2.05E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.19E-02     1.33E-02     1.46E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.66E-02     2.24E-02     2.78E-02     3.31E-02     3.84E-02     4.39E-02     4.96E-02     5.56E-02     6.20E-02     6.90E-02     7.61E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     1.21E-02     1.32E-02     1.44E-02     1.55E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  1.79E-02     2.71E-02     3.43E-02     3.98E-02     4.44E-02     4.88E-02     5.31E-02     5.78E-02     6.29E-02     6.84E-02     7.47E-02     8.16E-02     
