[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
C            6            -2.56E-01    -2.74E-01    7.35E-02     4.28E-01     6.84E-01     8.68E-01     1.01E+00     1.12E+00     1.21E+00     1.30E+00     1.37E+00     1.45E+00     
N            7            4.54E-01     4.71E-01     4.71E-01     4.71E-01     4.70E-01     4.70E-01     4.69E-01     4.67E-01     4.66E-01     4.65E-01     4.64E-01     4.64E-01     
O            8            -1.33E-02    -1.52E-02    -1.36E-02    0.00000E+00  0.00000E+00  1.38E-02     2.43E-02     3.36E-02     4.20E-02     5.00E-02     5.82E-02     6.68E-02     
F            9            -3.70E-02    -4.19E-02    -1.59E-02    7.32E-02     2.08E-01     3.54E-01     4.93E-01     6.22E-01     7.42E-01     8.57E-01     9.68E-01     1.08E+00     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  3.13E-02     8.91E-02     1.59E-01     2.33E-01     3.07E-01     3.82E-01     4.60E-01     5.42E-01     6.29E-01     
Na           11           1.60E-01     1.71E-01     1.72E-01     1.75E-01     1.82E-01     1.94E-01     2.10E-01     2.29E-01     2.51E-01     2.76E-01     3.07E-01     3.45E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.25E-02     2.08E-02     3.22E-02     4.78E-02     6.90E-02     9.70E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     2.08E-02     3.26E-02     4.40E-02     5.42E-02     6.35E-02     7.24E-02     8.12E-02     9.03E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     1.87E-02     2.59E-02     3.29E-02     4.02E-02     4.82E-02     5.72E-02     6.86E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.39E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.38E-02     1.77E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.38E-02     2.18E-02     3.23E-02     4.53E-02     6.13E-02     8.07E-02     1.04E-01     1.32E-01     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.16E-02     1.34E-02     1.56E-02     
