[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       
C            6            -2.27E-01    -2.17E-01    -1.07E-01    5.81E-02     2.15E-01     3.43E-01     4.46E-01     5.34E-01     6.07E-01     6.71E-01     7.28E-01     7.79E-01     8.26E-01     8.73E-01     9.10E-01     9.19E-01     
N            7            4.41E-01     4.44E-01     4.44E-01     4.44E-01     4.43E-01     4.42E-01     4.41E-01     4.40E-01     4.39E-01     4.37E-01     4.36E-01     4.35E-01     4.33E-01     4.32E-01     4.32E-01     4.34E-01     
O            8            -1.69E-02    -1.70E-02    -1.63E-02    -1.44E-02    -1.18E-02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            -2.80E-02    -2.76E-02    0.00000E+00  4.49E-02     1.16E-01     1.91E-01     2.64E-01     3.36E-01     4.05E-01     4.72E-01     5.37E-01     6.00E-01     6.60E-01     7.23E-01     7.73E-01     7.86E-01     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  2.22E-02     4.92E-02     7.99E-02     1.13E-01     1.46E-01     1.81E-01     2.16E-01     2.52E-01     2.88E-01     3.24E-01     3.64E-01     3.97E-01     4.05E-01     
Na           11           1.31E-01     1.32E-01     1.34E-01     1.39E-01     1.47E-01     1.56E-01     1.66E-01     1.76E-01     1.87E-01     1.98E-01     2.10E-01     2.23E-01     2.37E-01     2.54E-01     2.69E-01     2.75E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.25E-02     1.58E-02     1.98E-02     2.48E-02     2.96E-02     3.11E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.16E-02     1.32E-02     1.47E-02     1.63E-02     1.77E-02     1.82E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.29E-02     1.82E-02     2.30E-02     2.73E-02     3.11E-02     3.46E-02     3.79E-02     4.10E-02     4.41E-02     4.73E-02     4.98E-02     5.03E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     1.30E-02     1.46E-02     1.64E-02     1.83E-02     1.98E-02     2.02E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.15E-02     1.29E-02     1.44E-02     1.57E-02     1.62E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  1.35E-02     2.07E-02     2.72E-02     3.33E-02     3.94E-02     4.55E-02     5.18E-02     5.85E-02     6.54E-02     7.28E-02     8.11E-02     8.79E-02     8.94E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     1.28E-02     1.42E-02     1.56E-02     1.70E-02     1.80E-02     1.82E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.22E-02     1.26E-02     
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  2.07E-02     3.08E-02     3.83E-02     4.41E-02     4.90E-02     5.38E-02     5.87E-02     6.42E-02     7.02E-02     7.70E-02     8.48E-02     9.23E-02     9.59E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  2.22E-02     5.26E-02     7.90E-02     9.77E-02     1.11E-01     1.21E-01     1.29E-01     1.35E-01     1.41E-01     1.47E-01     1.53E-01     1.60E-01     1.65E-01     1.67E-01     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.83E-02     2.57E-02     3.23E-02     3.79E-02     4.27E-02     4.70E-02     5.08E-02     5.45E-02     5.86E-02     6.27E-02     6.55E-02     6.62E-02     
Ga           31           0.00000E+00  0.00000E+00  1.19E-02     3.68E-02     6.65E-02     9.50E-02     1.22E-01     1.46E-01     1.67E-01     1.85E-01     2.01E-01     2.16E-01     2.32E-01     2.47E-01     2.57E-01     2.60E-01     
