[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       
C            6            -1.26E-01    -2.66E-01    -2.66E-01    2.54E-01     6.87E-01     9.83E-01     1.19E+00     1.35E+00     1.48E+00     1.59E+00     1.68E+00     1.77E+00     1.86E+00     1.93E+00     1.99E+00     
N            7            2.84E-01     5.20E-01     5.21E-01     5.21E-01     5.22E-01     5.22E-01     5.22E-01     5.23E-01     5.23E-01     5.24E-01     5.25E-01     5.26E-01     5.27E-01     5.29E-01     5.34E-01     
O            8            4.99E-01     4.87E-01     4.87E-01     4.88E-01     4.92E-01     5.00E-01     5.10E-01     5.20E-01     5.30E-01     5.41E-01     5.52E-01     5.64E-01     5.77E-01     5.92E-01     6.02E-01     
F            9            0.00000E+00  -2.81E-02    -2.82E-02    1.62E-01     6.81E-01     9.88E-01     1.17E+00     1.28E+00     1.36E+00     1.43E+00     1.48E+00     1.52E+00     1.56E+00     1.60E+00     1.63E+00     
Ne           10           4.78E-01     4.74E-01     4.74E-01     4.76E-01     4.93E-01     5.25E-01     5.64E-01     6.03E-01     6.42E-01     6.81E-01     7.22E-01     7.67E-01     8.18E-01     8.72E-01     9.13E-01     
Na           11           0.00000E+00  2.50E-01     2.50E-01     2.50E-01     2.54E-01     2.66E-01     2.86E-01     3.10E-01     3.36E-01     3.63E-01     3.94E-01     4.30E-01     4.74E-01     5.25E-01     5.63E-01     
Mg           12           4.33E-01     4.33E-01     4.33E-01     4.33E-01     4.33E-01     4.35E-01     4.38E-01     4.44E-01     4.51E-01     4.62E-01     4.76E-01     4.95E-01     5.22E-01     5.55E-01     5.82E-01     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.51E-02     2.36E-02     3.71E-02     5.55E-02     7.89E-02     1.07E-01     1.42E-01     1.81E-01     2.15E-01     
Si           14           4.76E-01     4.76E-01     4.76E-01     4.77E-01     4.77E-01     4.79E-01     4.80E-01     4.82E-01     4.84E-01     4.86E-01     4.89E-01     4.92E-01     4.95E-01     4.99E-01     5.02E-01     
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.70E-02     5.71E-02     8.97E-02     1.22E-01     1.55E-01     1.90E-01     2.27E-01     2.69E-01     3.18E-01     3.70E-01     4.07E-01     
S            16           4.85E-01     4.85E-01     4.85E-01     4.85E-01     4.85E-01     4.85E-01     4.85E-01     4.86E-01     4.86E-01     4.86E-01     4.86E-01     4.86E-01     4.87E-01     4.87E-01     4.87E-01     
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     1.40E-02     1.68E-02     2.01E-02     2.39E-02     2.80E-02     3.13E-02     
Ar           18           4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.51E-01     4.51E-01     4.51E-01     4.51E-01     4.51E-01     4.51E-01     4.51E-01     
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.24E-02     1.66E-02     2.19E-02     2.84E-02     3.57E-02     4.16E-02     
Ca           20           4.91E-01     4.91E-01     4.91E-01     4.91E-01     4.91E-01     4.91E-01     4.91E-01     4.91E-01     4.91E-01     4.90E-01     4.90E-01     4.90E-01     4.90E-01     4.90E-01     4.90E-01     
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.90E-02     3.23E-02     4.86E-02     6.92E-02     9.48E-02     1.27E-01     1.65E-01     2.11E-01     2.60E-01     2.97E-01     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.37E-02     1.60E-02     1.84E-02     2.12E-02     2.46E-02     2.85E-02     3.16E-02     
