[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       
C            6            -2.10E-01    -1.90E-01    -1.26E-01    -4.09E-02    4.91E-02     1.33E-01     2.10E-01     2.77E-01     3.37E-01     3.93E-01     4.44E-01     4.94E-01     5.39E-01     5.50E-01     
N            7            4.45E-01     4.48E-01     4.48E-01     4.47E-01     4.47E-01     4.46E-01     4.45E-01     4.44E-01     4.42E-01     4.41E-01     4.40E-01     4.38E-01     4.37E-01     4.37E-01     
O            8            -2.36E-02    -2.37E-02    -2.35E-02    -2.31E-02    -2.27E-02    -2.23E-02    -2.22E-02    -2.22E-02    -2.24E-02    -2.27E-02    -2.32E-02    -2.37E-02    -2.44E-02    -2.46E-02    
F            9            -3.38E-02    -3.16E-02    -1.71E-02    1.53E-02     6.17E-02     1.14E-01     1.69E-01     2.21E-01     2.72E-01     3.21E-01     3.70E-01     4.18E-01     4.63E-01     4.75E-01     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  1.43E-02     2.95E-02     4.75E-02     6.73E-02     8.81E-02     1.10E-01     1.32E-01     1.56E-01     1.81E-01     2.05E-01     2.12E-01     
Na           11           1.24E-01     1.27E-01     1.29E-01     1.32E-01     1.36E-01     1.41E-01     1.46E-01     1.52E-01     1.58E-01     1.63E-01     1.70E-01     1.76E-01     1.83E-01     1.85E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.20E-02     1.49E-02     1.57E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.15E-02     1.18E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.25E-02     1.44E-02     1.62E-02     1.81E-02     1.99E-02     2.02E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.16E-02     1.29E-02     1.32E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     1.54E-02     1.96E-02     2.43E-02     2.93E-02     3.48E-02     4.08E-02     4.67E-02     4.81E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.30E-02     1.63E-02     2.00E-02     2.41E-02     2.88E-02     3.41E-02     4.03E-02     4.68E-02     4.91E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.40E-02     1.91E-02     2.44E-02     2.97E-02     3.52E-02     4.08E-02     4.65E-02     5.28E-02     5.89E-02     6.03E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.16E-02     1.57E-02     1.98E-02     2.39E-02     2.79E-02     3.18E-02     3.56E-02     3.92E-02     4.00E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  2.45E-02     4.37E-02     6.48E-02     8.61E-02     1.06E-01     1.25E-01     1.43E-01     1.59E-01     1.75E-01     1.88E-01     1.91E-01     
Ge           32           0.00000E+00  0.00000E+00  1.01E-02     2.46E-02     4.37E-02     6.49E-02     8.67E-02     1.08E-01     1.27E-01     1.46E-01     1.64E-01     1.81E-01     1.95E-01     1.98E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  1.68E-02     3.01E-02     4.50E-02     6.06E-02     7.58E-02     9.04E-02     1.04E-01     1.18E-01     1.31E-01     1.42E-01     1.44E-01     
Se           34           0.00000E+00  0.00000E+00  1.59E-02     3.72E-02     6.41E-02     9.30E-02     1.22E-01     1.49E-01     1.74E-01     1.98E-01     2.20E-01     2.41E-01     2.59E-01     2.62E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  2.24E-02     4.05E-02     6.09E-02     8.21E-02     1.03E-01     1.24E-01     1.44E-01     1.63E-01     1.81E-01     1.97E-01     2.01E-01     
Kr           36           0.00000E+00  0.00000E+00  2.02E-02     5.00E-02     8.81E-02     1.29E-01     1.68E-01     2.04E-01     2.38E-01     2.69E-01     2.97E-01     3.24E-01     3.46E-01     3.51E-01     
Rb           37           0.00000E+00  0.00000E+00  3.52E-02     6.79E-02     1.03E-01     1.37E-01     1.72E-01     2.06E-01     2.39E-01     2.73E-01     3.06E-01     3.39E-01     3.69E-01     3.75E-01     
Sr           38           0.00000E+00  1.32E-02     1.27E-01     3.08E-01     4.83E-01     6.25E-01     7.36E-01     8.23E-01     8.93E-01     9.51E-01     1.00E+00     1.04E+00     1.08E+00     1.09E+00     
Y            39           0.00000E+00  1.19E-02     1.24E-01     2.95E-01     4.62E-01     5.99E-01     7.07E-01     7.93E-01     8.63E-01     9.22E-01     9.72E-01     1.02E+00     1.05E+00     1.06E+00     
Zr           40           0.00000E+00  0.00000E+00  1.14E-01     2.90E-01     4.62E-01     6.00E-01     7.07E-01     7.90E-01     8.56E-01     9.11E-01     9.58E-01     1.00E+00     1.03E+00     1.04E+00     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  2.09E-02     5.18E-02     9.42E-02     1.43E-01     1.96E-01     2.48E-01     2.98E-01     3.45E-01     3.88E-01     4.27E-01     4.43E-01     
Mo           42           0.00000E+00  0.00000E+00  6.42E-02     1.89E-01     3.27E-01     4.45E-01     5.39E-01     6.13E-01     6.72E-01     7.21E-01     7.62E-01     7.99E-01     8.29E-01     8.35E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  4.73E-02     1.46E-01     2.62E-01     3.66E-01     4.51E-01     5.19E-01     5.75E-01     6.21E-01     6.61E-01     6.97E-01     7.26E-01     7.32E-01     
Rh           45           0.00000E+00  0.00000E+00  2.31E-02     7.46E-02     1.41E-01     2.06E-01     2.64E-01     3.12E-01     3.52E-01     3.87E-01     4.17E-01     4.44E-01     4.67E-01     4.71E-01     
Pd           46           0.00000E+00  0.00000E+00  7.21E-02     2.10E-01     3.58E-01     4.81E-01     5.77E-01     6.51E-01     7.10E-01     7.59E-01     8.00E-01     8.37E-01     8.67E-01     8.72E-01     
Ag           47           0.00000E+00  0.00000E+00  2.08E-02     6.73E-02     1.27E-01     1.87E-01     2.40E-01     2.84E-01     3.22E-01     3.54E-01     3.83E-01     4.09E-01     4.31E-01     4.35E-01     
Cd           48           0.00000E+00  0.00000E+00  8.87E-02     2.48E-01     4.11E-01     5.43E-01     6.45E-01     7.23E-01     7.86E-01     8.37E-01     8.80E-01     9.19E-01     9.50E-01     9.56E-01     
In           49           0.00000E+00  0.00000E+00  5.76E-02     1.71E-01     2.97E-01     4.06E-01     4.94E-01     5.64E-01     6.20E-01     6.67E-01     7.08E-01     7.44E-01     7.73E-01     7.79E-01     
Sn           50           0.00000E+00  0.00000E+00  9.23E-02     2.59E-01     4.26E-01     5.60E-01     6.62E-01     7.40E-01     8.00E-01     8.50E-01     8.92E-01     9.30E-01     9.60E-01     9.66E-01     
Sb           51           0.00000E+00  0.00000E+00  3.81E-02     1.13E-01     2.02E-01     2.85E-01     3.56E-01     4.14E-01     4.63E-01     5.05E-01     5.41E-01     5.74E-01     6.01E-01     6.07E-01     
Te           52           0.00000E+00  0.00000E+00  2.84E-02     9.47E-02     1.77E-01     2.54E-01     3.17E-01     3.68E-01     4.09E-01     4.43E-01     4.72E-01     4.98E-01     5.19E-01     5.24E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  2.88E-02     5.77E-02     8.80E-02     1.16E-01     1.40E-01     1.61E-01     1.79E-01     1.95E-01     2.10E-01     2.22E-01     2.24E-01     
Xe           54           0.00000E+00  0.00000E+00  2.86E-02     9.46E-02     1.77E-01     2.53E-01     3.17E-01     3.68E-01     4.09E-01     4.44E-01     4.73E-01     5.00E-01     5.22E-01     5.26E-01     
Cs           55           0.00000E+00  0.00000E+00  5.23E-02     1.25E-01     2.08E-01     2.88E-01     3.59E-01     4.19E-01     4.70E-01     5.13E-01     5.51E-01     5.86E-01     6.14E-01     6.19E-01     
Ba           56           0.00000E+00  0.00000E+00  1.09E-01     3.17E-01     5.13E-01     6.61E-01     7.67E-01     8.44E-01     9.01E-01     9.46E-01     9.82E-01     1.01E+00     1.04E+00     1.04E+00     
La           57           0.00000E+00  0.00000E+00  8.90E-02     2.75E-01     4.59E-01     6.00E-01     7.03E-01     7.77E-01     8.31E-01     8.74E-01     9.08E-01     9.37E-01     9.60E-01     9.65E-01     
Ce           58           0.00000E+00  0.00000E+00  6.86E-02     2.30E-01     4.02E-01     5.40E-01     6.42E-01     7.16E-01     7.70E-01     8.12E-01     8.45E-01     8.73E-01     8.95E-01     8.99E-01     
Pr           59           0.00000E+00  0.00000E+00  4.06E-02     1.35E-01     2.52E-01     3.59E-01     4.45E-01     5.11E-01     5.62E-01     6.02E-01     6.36E-01     6.64E-01     6.87E-01     6.91E-01     
Nd           60           0.00000E+00  0.00000E+00  4.04E-02     1.49E-01     2.82E-01     3.98E-01     4.88E-01     5.55E-01     6.05E-01     6.44E-01     6.75E-01     7.01E-01     7.22E-01     7.26E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  1.85E-02     7.49E-02     1.56E-01     2.36E-01     3.04E-01     3.56E-01     3.96E-01     4.28E-01     4.53E-01     4.75E-01     4.91E-01     4.95E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  1.29E-02     2.94E-02     4.87E-02     6.77E-02     8.39E-02     9.74E-02     1.08E-01     1.18E-01     1.25E-01     1.32E-01     1.33E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  3.95E-02     8.45E-02     1.30E-01     1.71E-01     2.04E-01     2.30E-01     2.52E-01     2.70E-01     2.85E-01     2.98E-01     3.00E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  2.14E-02     4.93E-02     8.00E-02     1.08E-01     1.31E-01     1.49E-01     1.63E-01     1.75E-01     1.85E-01     1.93E-01     1.95E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  3.95E-02     8.66E-02     1.36E-01     1.80E-01     2.14E-01     2.41E-01     2.63E-01     2.80E-01     2.95E-01     3.06E-01     3.08E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  1.82E-02     4.19E-02     6.84E-02     9.30E-02     1.14E-01     1.30E-01     1.44E-01     1.55E-01     1.64E-01     1.71E-01     1.73E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  4.13E-02     9.16E-02     1.45E-01     1.92E-01     2.31E-01     2.61E-01     2.85E-01     3.05E-01     3.22E-01     3.35E-01     3.37E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  3.32E-02     7.72E-02     1.27E-01     1.73E-01     2.09E-01     2.38E-01     2.60E-01     2.78E-01     2.93E-01     3.04E-01     3.06E-01     
Yb           70           0.00000E+00  0.00000E+00  2.08E-02     8.51E-02     1.76E-01     2.66E-01     3.41E-01     3.99E-01     4.44E-01     4.79E-01     5.07E-01     5.30E-01     5.49E-01     5.52E-01     
Lu           71           0.00000E+00  0.00000E+00  1.01E-02     4.62E-02     1.03E-01     1.64E-01     2.19E-01     2.63E-01     2.98E-01     3.26E-01     3.48E-01     3.66E-01     3.80E-01     3.83E-01     
Hf           72           0.00000E+00  0.00000E+00  2.67E-02     1.07E-01     2.18E-01     3.23E-01     4.09E-01     4.75E-01     5.25E-01     5.63E-01     5.94E-01     6.19E-01     6.38E-01     6.42E-01     
Ta           73           0.00000E+00  0.00000E+00  1.98E-02     8.27E-02     1.77E-01     2.72E-01     3.52E-01     4.15E-01     4.64E-01     5.01E-01     5.31E-01     5.56E-01     5.75E-01     5.78E-01     
W            74           0.00000E+00  0.00000E+00  2.66E-02     1.09E-01     2.22E-01     3.31E-01     4.20E-01     4.89E-01     5.41E-01     5.82E-01     6.14E-01     6.41E-01     6.61E-01     6.65E-01     
Re           75           -3.12E-02    -3.22E-02    -2.44E-02    0.00000E+00  3.53E-02     8.08E-02     1.27E-01     1.67E-01     2.01E-01     2.29E-01     2.52E-01     2.71E-01     2.87E-01     2.90E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  1.97E-02     4.37E-02     7.13E-02     9.73E-02     1.19E-01     1.37E-01     1.51E-01     1.63E-01     1.73E-01     1.81E-01     1.82E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.46E-02     1.85E-02     2.16E-02     2.40E-02     2.58E-02     2.71E-02     2.79E-02     2.80E-02     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     2.86E-02     4.88E-02     6.84E-02     8.51E-02     9.89E-02     1.10E-01     1.19E-01     1.27E-01     1.33E-01     1.34E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.30E-02     4.04E-02     5.82E-02     7.41E-02     8.75E-02     9.86E-02     1.08E-01     1.16E-01     1.22E-01     1.23E-01     
Hg           80           0.00000E+00  0.00000E+00  1.68E-02     7.83E-02     1.73E-01     2.71E-01     3.54E-01     4.18E-01     4.68E-01     5.06E-01     5.37E-01     5.63E-01     5.83E-01     5.87E-01     
Tl           81           0.00000E+00  0.00000E+00  1.97E-02     1.01E-01     2.27E-01     3.51E-01     4.52E-01     5.28E-01     5.84E-01     6.26E-01     6.59E-01     6.85E-01     7.05E-01     7.08E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  4.60E-02     1.29E-01     2.26E-01     3.12E-01     3.79E-01     4.29E-01     4.67E-01     4.96E-01     5.19E-01     5.36E-01     5.39E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.60E-02     2.60E-02     3.58E-02     4.47E-02     5.23E-02     5.87E-02     6.42E-02     6.85E-02     6.93E-02     
