[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
C            6            -2.11E-01    -2.33E-01    -2.30E-01    -2.07E-01    -1.63E-01    -1.06E-01    -3.99E-02    2.91E-02     9.49E-02     1.47E-01     1.56E-01     
N            7            4.34E-01     4.75E-01     4.75E-01     4.75E-01     4.75E-01     4.75E-01     4.75E-01     4.74E-01     4.74E-01     4.74E-01     4.74E-01     
O            8            -1.89E-02    -2.92E-02    -2.92E-02    -2.93E-02    -2.92E-02    -2.89E-02    -2.86E-02    -2.83E-02    -2.79E-02    -2.76E-02    -2.76E-02    
F            9            -2.89E-02    -4.19E-02    -4.15E-02    -3.70E-02    -2.72E-02    -1.34E-02    0.00000E+00  2.05E-02     3.84E-02     5.31E-02     5.60E-02     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.42E-02     2.08E-02     2.64E-02     2.75E-02     
Na           11           1.26E-01     1.49E-01     1.49E-01     1.49E-01     1.50E-01     1.51E-01     1.51E-01     1.52E-01     1.53E-01     1.54E-01     1.54E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.40E-02     1.90E-02     2.36E-02     2.48E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     1.19E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
