[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       TDU_16       TDU_17       TDU_18       TDU_19       TDU_20       TDU_21       TDU_22       TDU_23       TDU_24       
C            6            0.00000E+00  -3.24E-01    -3.08E-01    -2.36E-01    -1.28E-01    -1.11E-02    1.03E-01     2.07E-01     3.02E-01     3.87E-01     4.65E-01     5.37E-01     6.03E-01     6.65E-01     7.22E-01     7.76E-01     8.27E-01     8.75E-01     9.21E-01     9.65E-01     1.01E+00     1.05E+00     1.08E+00     1.12E+00     1.15E+00     1.16E+00     
N            7            0.00000E+00  5.86E-01     5.87E-01     5.87E-01     5.87E-01     5.87E-01     5.88E-01     5.88E-01     5.88E-01     5.89E-01     5.89E-01     5.90E-01     5.90E-01     5.91E-01     5.91E-01     5.91E-01     5.92E-01     5.92E-01     5.92E-01     5.92E-01     5.93E-01     5.93E-01     5.93E-01     5.93E-01     5.93E-01     5.93E-01     
O            8            0.00000E+00  -6.04E-02    -6.05E-02    -6.02E-02    -5.97E-02    -5.87E-02    -5.75E-02    -5.60E-02    -5.42E-02    -5.22E-02    -5.01E-02    -4.76E-02    -4.50E-02    -4.21E-02    -3.90E-02    -3.56E-02    -3.19E-02    -2.79E-02    -2.36E-02    -1.90E-02    -1.40E-02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            0.00000E+00  -9.53E-02    -9.53E-02    -9.47E-02    -9.33E-02    -9.16E-02    -8.99E-02    -8.83E-02    -8.69E-02    -8.55E-02    -8.41E-02    -8.27E-02    -8.13E-02    -7.99E-02    -7.83E-02    -7.66E-02    -7.48E-02    -7.29E-02    -7.07E-02    -6.83E-02    -6.56E-02    -6.26E-02    -5.94E-02    -5.62E-02    -5.34E-02    -5.14E-02    
Ne           10           0.00000E+00  -2.70E-02    -2.70E-02    -2.61E-02    -2.40E-02    -2.11E-02    -1.79E-02    -1.45E-02    -1.12E-02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.21E-02     1.70E-02     2.23E-02     2.81E-02     3.46E-02     4.17E-02     4.96E-02     5.83E-02     6.73E-02     7.64E-02     8.39E-02     8.88E-02     
Na           11           0.00000E+00  5.00E-01     5.00E-01     5.00E-01     5.00E-01     5.01E-01     5.01E-01     5.01E-01     5.01E-01     5.01E-01     5.01E-01     5.02E-01     5.02E-01     5.02E-01     5.02E-01     5.03E-01     5.04E-01     5.04E-01     5.05E-01     5.06E-01     5.07E-01     5.09E-01     5.10E-01     5.12E-01     5.14E-01     5.14E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     1.44E-02     1.90E-02     2.44E-02     3.09E-02     3.85E-02     4.70E-02     5.58E-02     6.30E-02     6.74E-02     
Al           13           0.00000E+00  3.71E-02     3.72E-02     3.72E-02     3.72E-02     3.72E-02     3.71E-02     3.71E-02     3.70E-02     3.70E-02     3.69E-02     3.69E-02     3.69E-02     3.69E-02     3.69E-02     3.70E-02     3.72E-02     3.74E-02     3.77E-02     3.82E-02     3.88E-02     3.96E-02     4.05E-02     4.16E-02     4.25E-02     4.31E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     1.16E-02     1.24E-02     1.28E-02     
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.20E-02     1.49E-02     1.85E-02     2.29E-02     2.81E-02     3.43E-02     4.16E-02     4.98E-02     5.87E-02     6.76E-02     7.47E-02     7.90E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.10E-02     1.36E-02     1.68E-02     2.05E-02     2.47E-02     2.95E-02     3.49E-02     4.09E-02     4.74E-02     5.44E-02     6.17E-02     6.90E-02     7.50E-02     7.90E-02     
