[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
C            6            -2.08E-01    -2.42E-01    -2.39E-01    -2.28E-01    -2.11E-01    -1.88E-01    -1.60E-01    -1.29E-01    -9.98E-02    -8.23E-02    
N            7            4.41E-01     5.19E-01     5.19E-01     5.19E-01     5.19E-01     5.19E-01     5.19E-01     5.19E-01     5.18E-01     5.18E-01     
O            8            -2.28E-02    -4.71E-02    -4.72E-02    -4.72E-02    -4.72E-02    -4.73E-02    -4.72E-02    -4.72E-02    -4.72E-02    -4.72E-02    
F            9            -3.53E-02    -6.28E-02    -6.18E-02    -5.82E-02    -5.22E-02    -4.43E-02    -3.51E-02    -2.49E-02    -1.56E-02    -1.01E-02    
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Na           11           1.25E-01     1.67E-01     1.67E-01     1.67E-01     1.68E-01     1.68E-01     1.68E-01     1.68E-01     1.69E-01     1.69E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.28E-02     1.42E-02     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     1.53E-02     1.71E-02     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.36E-02     1.51E-02     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.16E-02     1.61E-02     2.01E-02     2.23E-02     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.30E-02     2.05E-02     2.86E-02     3.57E-02     3.96E-02     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.48E-02     2.61E-02     4.07E-02     5.50E-02     6.37E-02     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.13E-02     5.88E-02     8.88E-02     1.18E-01     1.41E-01     1.54E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.02E-02     5.87E-02     9.17E-02     1.26E-01     1.54E-01     1.68E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.04E-02     5.87E-02     9.09E-02     1.24E-01     1.51E-01     1.66E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.86E-02     3.68E-02     5.77E-02     7.88E-02     9.64E-02     1.06E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.44E-02     2.85E-02     4.48E-02     6.14E-02     7.51E-02     8.23E-02     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.30E-02     2.07E-02     2.86E-02     3.53E-02     3.89E-02     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.02E-02     3.97E-02     6.19E-02     8.44E-02     1.03E-01     1.12E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     1.96E-02     2.71E-02     3.34E-02     3.67E-02     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.45E-02     4.90E-02     7.74E-02     1.06E-01     1.30E-01     1.42E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.55E-02     3.15E-02     5.05E-02     7.03E-02     8.69E-02     9.57E-02     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.71E-02     5.44E-02     8.61E-02     1.19E-01     1.46E-01     1.61E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.03E-02     3.42E-02     5.01E-02     6.45E-02     7.29E-02     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.70E-02     2.71E-02     3.77E-02     4.67E-02     5.15E-02     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.43E-02     1.59E-02     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.75E-02     2.87E-02     4.07E-02     5.11E-02     5.67E-02     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.07E-02     3.74E-02     5.73E-02     7.51E-02     8.55E-02     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.87E-02     8.27E-02     1.34E-01     1.86E-01     2.28E-01     2.49E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.14E-02     6.96E-02     1.16E-01     1.63E-01     2.03E-01     2.24E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.59E-02     6.00E-02     1.02E-01     1.46E-01     1.84E-01     2.03E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.42E-02     3.55E-02     6.46E-02     9.84E-02     1.28E-01     1.45E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.67E-02     4.03E-02     7.06E-02     1.04E-01     1.33E-01     1.47E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.05E-02     3.66E-02     5.54E-02     7.26E-02     8.20E-02     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.44E-02     1.66E-02     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.74E-02     2.74E-02     3.70E-02     4.25E-02     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.53E-02     2.06E-02     2.37E-02     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.57E-02     2.41E-02     3.22E-02     3.70E-02     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.44E-02     1.85E-02     1.99E-02     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     2.03E-02     3.06E-02     4.03E-02     4.55E-02     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.26E-02     1.87E-02     2.45E-02     2.81E-02     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.32E-02     4.20E-02     6.31E-02     8.21E-02     9.24E-02     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.25E-02     2.31E-02     3.50E-02     4.57E-02     5.17E-02     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     2.94E-02     5.39E-02     8.12E-02     1.05E-01     1.18E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.42E-02     4.46E-02     6.76E-02     8.80E-02     9.93E-02     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.11E-02     2.99E-02     5.52E-02     8.31E-02     1.07E-01     1.20E-01     
Re           75           -1.24E-02    -1.28E-02    -1.28E-02    -1.25E-02    -1.01E-02    0.00000E+00  0.00000E+00  1.62E-02     2.66E-02     3.29E-02     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.77E-02     2.35E-02     2.66E-02     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     1.27E-02     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.28E-02     4.31E-02     6.63E-02     8.70E-02     9.80E-02     
