[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       TDU_16       TDU_17       TDU_18       TDU_19       TDU_20       TDU_21       TDU_22       TDU_23       TDU_24       TDU_25       TDU_26       TDU_27       TDU_28       TDU_29       TDU_30       TDU_31       TDU_32       TDU_33       TDU_34       TDU_35       TDU_36       TDU_37       TDU_38       TDU_39       TDU_40       TDU_41       
C            6            -8.97E-02    -3.09E-01    -3.09E-01    -3.05E-01    -2.97E-01    -2.83E-01    -2.65E-01    -2.42E-01    -2.15E-01    -1.86E-01    -1.55E-01    -1.23E-01    -8.98E-02    -5.63E-02    -2.23E-02    1.16E-02     4.53E-02     7.86E-02     1.12E-01     1.44E-01     1.76E-01     2.08E-01     2.39E-01     2.69E-01     3.00E-01     3.30E-01     3.59E-01     3.87E-01     4.16E-01     4.43E-01     4.71E-01     4.96E-01     5.21E-01     5.47E-01     5.72E-01     5.95E-01     6.17E-01     6.35E-01     6.51E-01     6.64E-01     6.72E-01     6.78E-01     6.83E-01     
N            7            2.27E-01     5.99E-01     5.99E-01     6.00E-01     6.01E-01     6.01E-01     6.02E-01     6.03E-01     6.04E-01     6.05E-01     6.06E-01     6.07E-01     6.08E-01     6.09E-01     6.10E-01     6.11E-01     6.12E-01     6.13E-01     6.14E-01     6.15E-01     6.16E-01     6.18E-01     6.19E-01     6.19E-01     6.20E-01     6.21E-01     6.22E-01     6.22E-01     6.23E-01     6.23E-01     6.24E-01     6.24E-01     6.24E-01     6.24E-01     6.24E-01     6.24E-01     6.24E-01     6.24E-01     6.24E-01     6.24E-01     6.24E-01     6.24E-01     6.24E-01     
O            8            0.00000E+00  -7.21E-02    -7.21E-02    -7.21E-02    -7.21E-02    -7.20E-02    -7.19E-02    -7.18E-02    -7.17E-02    -7.15E-02    -7.13E-02    -7.10E-02    -7.07E-02    -7.04E-02    -7.01E-02    -6.97E-02    -6.92E-02    -6.87E-02    -6.82E-02    -6.76E-02    -6.70E-02    -6.63E-02    -6.56E-02    -6.49E-02    -6.40E-02    -6.31E-02    -6.22E-02    -6.12E-02    -6.00E-02    -5.89E-02    -5.77E-02    -5.65E-02    -5.53E-02    -5.39E-02    -5.24E-02    -5.10E-02    -4.96E-02    -4.84E-02    -4.72E-02    -4.64E-02    -4.58E-02    -4.54E-02    -4.51E-02    
F            9            0.00000E+00  -9.73E-02    -9.73E-02    -9.73E-02    -9.73E-02    -9.73E-02    -9.72E-02    -9.71E-02    -9.70E-02    -9.69E-02    -9.68E-02    -9.67E-02    -9.66E-02    -9.65E-02    -9.64E-02    -9.63E-02    -9.62E-02    -9.61E-02    -9.60E-02    -9.59E-02    -9.58E-02    -9.57E-02    -9.56E-02    -9.55E-02    -9.54E-02    -9.52E-02    -9.51E-02    -9.49E-02    -9.48E-02    -9.47E-02    -9.46E-02    -9.44E-02    -9.43E-02    -9.41E-02    -9.39E-02    -9.38E-02    -9.36E-02    -9.34E-02    -9.32E-02    -9.31E-02    -9.30E-02    -9.29E-02    -9.28E-02    
Ne           10           0.00000E+00  -2.25E-02    -2.25E-02    -2.25E-02    -2.24E-02    -2.22E-02    -2.19E-02    -2.16E-02    -2.12E-02    -2.07E-02    -2.01E-02    -1.94E-02    -1.89E-02    -1.81E-02    -1.75E-02    -1.69E-02    -1.61E-02    -1.53E-02    -1.45E-02    -1.37E-02    -1.29E-02    -1.20E-02    -1.12E-02    -1.02E-02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.08E-02     
Na           11           0.00000E+00  4.49E-01     4.49E-01     4.49E-01     4.49E-01     4.49E-01     4.49E-01     4.49E-01     4.49E-01     4.49E-01     4.49E-01     4.49E-01     4.49E-01     4.49E-01     4.49E-01     4.49E-01     4.49E-01     4.50E-01     4.50E-01     4.50E-01     4.50E-01     4.50E-01     4.50E-01     4.50E-01     4.50E-01     4.50E-01     4.51E-01     4.51E-01     4.51E-01     4.51E-01     4.51E-01     4.51E-01     4.51E-01     4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.53E-01     4.53E-01     4.53E-01     4.53E-01     4.53E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.15E-02     1.29E-02     1.46E-02     1.64E-02     1.83E-02     2.02E-02     2.20E-02     2.36E-02     2.49E-02     2.58E-02     2.64E-02     2.69E-02     
Al           13           0.00000E+00  2.34E-02     2.34E-02     2.34E-02     2.34E-02     2.34E-02     2.34E-02     2.34E-02     2.34E-02     2.34E-02     2.34E-02     2.34E-02     2.34E-02     2.33E-02     2.33E-02     2.33E-02     2.33E-02     2.33E-02     2.33E-02     2.33E-02     2.33E-02     2.33E-02     2.33E-02     2.33E-02     2.33E-02     2.33E-02     2.34E-02     2.34E-02     2.35E-02     2.35E-02     2.36E-02     2.37E-02     2.37E-02     2.39E-02     2.40E-02     2.41E-02     2.43E-02     2.44E-02     2.45E-02     2.47E-02     2.47E-02     2.48E-02     2.48E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.18E-02     1.31E-02     1.46E-02     1.62E-02     1.78E-02     1.98E-02     2.19E-02     2.40E-02     2.62E-02     2.82E-02     3.00E-02     3.14E-02     3.24E-02     3.31E-02     3.36E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.18E-02     1.30E-02     1.45E-02     1.60E-02     1.77E-02     1.95E-02     2.13E-02     2.33E-02     2.53E-02     2.73E-02     2.97E-02     3.23E-02     3.48E-02     3.73E-02     3.97E-02     4.18E-02     4.36E-02     4.49E-02     4.58E-02     4.65E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
