name			Fe/H	err		logRb	Rb/Fe	err		Zr/Fe	err		Rb/Zr	err	
BD-142678      0.01    0.12    2.70    0.09    0.21    0.85    0.20    -0.76   0.10 
CD-422048      -0.23   0.16    2.60    0.23    0.25    0.96    0.26    -0.73   0.11 
CPD-644333     -0.10   0.18    2.80    0.30    0.26    1.12    0.26    -0.82   0.11 
HD18182        -0.17   0.10    2.45    0.02    0.21    0.35    0.22    -0.33   0.11 
HD20394        -0.22   0.12    2.50    0.12    0.21    1.14    0.20    -1.02   0.09 
HD24035        -0.23   0.15    2.55    0.18    0.24    1.20    0.25    -1.02   0.15 
HD40430        -0.23   0.13    2.35    -0.02   0.22    0.58    0.23    -0.60   0.12 
HD49641                                                                             
HD53199        -0.23   0.13    2.30    -0.07   0.22    0.70    0.21    -0.77   0.11 
HD58121        -0.01   0.13    2.35    -0.24   0.23    0.26    0.25    -0.50   0.12 
HD58368        0.04    0.14    3.05    0.41    0.22    0.60    0.21    -0.19   0.10 
HD59852        -0.22   0.10    2.30    -0.08   0.20    0.27    0.19    -0.35   0.09 
HD84678        -0.13   0.16    2.65    0.18    0.25    1.21    0.26    -1.03   0.12 
HD91208        0.05    0.14    2.60    -0.05   0.22    0.61    0.21    -0.66   0.10 
HD92626        -0.15   0.22    2.70    0.25    0.29    1.21    0.29    -0.96   0.12 
HD95193        0.04    0.12    2.55    -0.09   0.21    0.48    0.20    -0.57   0.10 
HD107541       -0.63   0.11    2.60    0.63    0.21    1.35    0.20    -0.72   0.12 
HD119185       -0.43   0.10    2.00    -0.17   0.21    0.21    0.22    -0.38   0.12 
HD134698       -0.52   0.12    2.30    0.22    0.23    0.59    0.24    -0.37   0.12 
HD143899       -0.27   0.12    2.20    -0.13   0.21    0.57    0.20    -0.70   0.10 
HD154430       -0.36   0.19    2.40    0.16    0.27    0.97    0.28    -0.81   0.11 
HD180622       0.03    0.12    2.60    -0.03   0.23    0.41    0.24    -0.44   0.12 
HD183915       -0.39   0.14    2.25    0.04    0.24    0.68    0.25    -0.64   0.12 
HD200063       -0.34   0.20    2.25    -0.01   0.28    0.62    0.29    -0.63   0.12 
HD201657       -0.34   0.17    2.50    0.24    0.25    0.98    0.26    -0.74   0.11 
HD201824       -0.33   0.17    2.35    0.08    0.25    0.87    0.26    -0.79   0.11 
HD210946       -0.12   0.13    2.40    -0.08   0.22    0.56    0.23    -0.64   0.11 
HD211594       -0.43   0.14    2.60    0.43    0.23    1.18    0.24    -0.75   0.12 
