name       Fe/H   err	  Rb     err_Rb Sr     err_Sr Nb     err_Nb Mo     err_Mo Ru     err_Ru	La     err_La Sm     err_Sm Eu     err_Eu
BD-142678   0.01   0.12   0.09   0.21   0.69   0.00   1.06   0.00   1.09   0.22   0.83   0.00   0.91   0.19   0.72   0.22   0.25   0.17
CD-422048  -0.23   0.16   0.23   0.25   0.99   0.33   1.26   0.27   1.10   0.26   1.21   0.31   0.98   0.22   1.14   0.25   0.23   0.20
CPD-644333 -0.10   0.18   0.30   0.26   0.95   0.30   1.60   0.28   1.43   0.28   1.18   0.28   1.32   0.23   1.22   0.26   0.40   0.21
HD18182    -0.17   0.10   0.02   0.21   0.70   0.00   0.38   0.00   0.80   0.24   0.70   0.00   0.37   0.19   0.28   0.21   0.01   0.15
HD20394    -0.22   0.12   0.12   0.21   0.84   0.26   1.25   0.26   1.17   0.23   0.95   0.21   1.33   0.19   1.04   0.21   0.50   0.17
HD24035    -0.23   0.15   0.18   0.24   0.97   0.28   1.40   0.25   1.59   0.24   0.99   0.00   1.45   0.21   1.61   0.24   0.56   0.18
HD40430    -0.23   0.13   -0.02  0.22   0.62   0.00   0.88   0.00   0.59   0.23   0.69   0.24   0.70   0.19   0.54   0.23   0.14   0.17
HD49641    -0.30   0.17   -      -      0.69   0.33   0.88   0.26   0.60   0.26   0.26   0.32   0.81   0.23   0.69   0.27   0.20   0.21
HD53199    -0.23   0.13   -0.07  0.22   0.75   0.00   0.95   0.00   0.55   0.22   0.75   0.22   0.77   0.20   0.69   0.23   0.12   0.18
HD58121    -0.01   0.13   -0.24  0.23   0.38   0.31   0.61   0.24   0.34   0.24   0.01   0.29   0.26   0.20   0.16   0.23   -0.21  0.18
HD58368     0.04   0.14   0.41   0.22   0.45   0.27   1.02   0.25   0.82   0.23   0.72   0.23   0.80   0.21   0.59   0.24   0.09   0.18
HD59852    -0.22   0.10   -0.08  0.20   0.32   0.00   -      -      0.34   0.21   0.46   0.00   0.27   0.18   0.30   0.22   -0.09  0.16
HD84678    -0.13   0.16   0.18   0.25   1.03   0.32   1.36   0.26   1.24   0.26   0.74   0.32   1.26   0.23   1.54   0.25   0.29   0.20
HD91208     0.05   0.14   -0.05  0.22   0.88   0.27   0.98   0.00   0.78   0.23   0.72   0.23   0.69   0.21   0.55   0.22   0.12   0.18
HD92626    -0.15   0.22   0.25   0.29   0.98   0.33   1.64   0.30   1.21   0.29   1.17   0.00   1.64   0.28   1.49   0.30   0.71   0.24
HD95193     0.04   0.12   -0.09  0.21   0.49   0.25   0.86   0.24   0.54   0.22   0.37   0.23   0.53   0.19   0.26   0.21   0.11   0.17
HD107541   -0.63   0.11   0.63   0.21   1.31   0.24   1.85   0.25   1.56   0.22   1.25   0.00   1.68   0.19   1.68   0.22   0.75   0.16
HD119185   -0.43   0.10   -0.17  0.21   0.31   0.00   -      -      0.30   0.22   0.60   0.23   0.41   0.18   0.42   0.22   0.17   0.15
HD134698   -0.52   0.12   0.22   0.23   0.39   0.00   0.97   0.24   0.51   0.24   0.36   0.00   0.46   0.19   0.25   0.22   0.08   0.17
HD143899   -0.27   0.12   -0.13  0.21   0.66   0.00   0.95   0.00   0.60   0.21   0.50   0.23   0.64   0.19   0.54   0.22   0.05   0.17
HD154430   -0.36   0.19   0.16   0.27   0.87   0.34   1.00   0.28   1.03   0.28   0.57   0.33   1.03   0.25   0.84   0.26   0.24   0.23
HD180622    0.03   0.12   -0.03  0.23   0.55   0.31   0.72   0.25   0.52   0.24   0.10   0.30   0.33   0.20   0.28   0.22   -0.10  0.17
HD183915   -0.39   0.14   0.04   0.24   0.76   0.31   1.08   0.25   0.83   0.24   0.50   0.30   1.12   0.20   0.75   0.23   0.31   0.19
HD200063   -0.34   0.20   -0.01  0.28   0.84   0.00   1.02   0.29   0.61   0.28   0.40   0.34   0.81   0.25   0.58   0.27   0.27   0.24
HD201657   -0.34   0.17   0.24   0.25   1.01   0.31   1.41   0.27   1.08   0.25   0.96   0.27   1.27   0.22   1.10   0.25   0.45   0.20
HD201824   -0.33   0.17   0.08   0.25   0.98   0.29   1.20   0.28   0.84   0.25   0.78   0.00   1.25   0.22   1.06   0.25   0.35   0.20
HD210946   -0.12   0.13   -0.08  0.22   0.61   0.29   0.86   0.24   0.66   0.23   0.62   0.25   0.54   0.19   0.33   0.22   -0.07  0.17
HD211594   -0.43   0.14   0.43   0.23   1.21   0.27   1.56   0.25   1.26   0.23   1.05   0.27   1.43   0.21   1.02   0.23   0.57   0.18
