name		Rb		Sr		La		Sm		Eu		err_Sr	err_La	err_Sm	Ce		Y		err_Rb
BD-142678 	0.09	0.69	0.89	0.72	0.25	-	     0.11	 0.14	0.87	1.13    0.21
CD-422048 	0.23	0.99	0.92	1.14	0.23    0.14     0.10    0.20   1.12    0.95    0.25
CPD-644333	0.3		0.95	1.26	1.22	0.4     0.08     0.07    0.13   1.41    1.02    0.26
HD18182		0.02	0.7		0.23	0.28	0.01    -        0.06    0.13   0.35    0.50    0.21
HD20394		0.12	0.84	1.29	1.04	0.5     0.15     0.09    0.12   1.28    1.00    0.21
HD24035		0.18	0.97	1.4		1.52	0.56    0.09     0.13    0.12   1.58    1.35    0.24
HD40430		-0.02	0.62	0.66	0.54	0.14    -        0.08    0.15   0.89    0.76    0.22
HD49641		-   	0.69	0.76	0.69	0.2     0.09     0.12    0.26   1.04    0.89    -    
HD53199		-0.07	0.75	0.73	0.69	0.12    -        0.12    0.21   0.93    0.68    0.22
HD58121		-0.24	0.38	0.23	0.16	-0.21   0.04     0.18    0.20   0.36    0.41    0.23
HD58368		0.41	0.55	0.77	0.59	0.09    0.16     0.19    0.23   0.86    0.85    0.22
HD59852		-0.08	0.32	0.23	0.3		-0.09   -        0.16    0.21   0.41    0.40    0.20
HD84678		0.18	1.03	1.2		1.54	0.29    0.07     0.18    0.11   1.52    1.09    0.25
HD91208		-0.05	0.88	0.66	0.55	0.12    0.14     0.20    0.11   0.84    0.94    0.22
HD92626		0.25	0.98	1.53	1.49	0.71    0.14     0.10    0.21   1.74    0.99    0.29
HD95193		-0.09	0.49	0.5		0.26	0.11    0.08     0.14    0.11   0.36    0.75    0.21
HD107541	0.63	1.31	1.63	1.68	0.75    0.07     0.13    0.19   1.87    1.53    0.21
HD119185	-0.17	0.31	0.37	0.42	0.17    -        0.13    0.19   0.60    0.30    0.21
HD134698	0.22	0.39	0.41	0.25	0.08    -        0.07    0.12   0.53    0.56    0.23
HD143899	-0.13	0.66	0.61	0.54	0.05    -        0.11    0.19   0.90    0.86    0.21
HD154430	0.16	0.87	0.98	0.84	0.24    0.09     0.17    0.12   1.33    0.93    0.27
HD180622	-0.03	0.55	0.29	0.28	-0.1    0.09     0.23    0.13   0.27    0.61    0.23
HD183915	0.04	0.76	1.07	0.75	0.31    0.06     0.08    0.11   1.22    0.88    0.24
HD200063	-0.01	0.84	0.75	0.58	0.27    -        0.12    0.15   0.93    0.88    0.28
HD201657	0.24	1.01	1.2		1.1		0.45    0.22     0.01    0.13   1.44    0.72    0.25
HD201824	0.08	0.98	1.21	1.06	0.35    0.11     0.11    0.09   1.48    0.91    0.25
HD210946	-0.08	0.61	0.49	0.33	-0.07   0.21     0.10    0.09   0.66    0.77    0.22
HD211594	0.43	1.21	1.36	1.02	0.57    0.07     0.08    0.11   1.57    1.20    0.23
