name		Na	    Mg       Al     Si      Ca      Ti      Cr      Ni  	Y       Zr      xLa      Ce      Nd	    mass
BD-083194	0.12	0.15	-0.01	0.09	0.05	0.09	0.12	0.03	0.95	0.95	1.94	1.27	1.35	2.0
BD-094337	0.42	-0.10	0.32	0.00	0.21	0.32	-       0.09	1.11	1.51	-	    1.44	1.56    1.5
BD-142678	0.01	0.01	0.09	0.10	0.07	0.01	0.00	0.00	1.02	0.85	1.08	0.87	0.87    2.5
CD-272233	0.19	0.16	0.10	0.28	0.15	0.12	-0.03	0.11	0.89	0.73	1.41	0.94	0.96    1.5
CD-298822	0.10	0.02	0.09	0.13	0.09	-0.09	-0.02	0.01	1.06	0.81	1.49	1.06	0.91    3.0
CD-308774	0.24	0.10	0.08	0.23	0.14	0.00	0.00	0.04	0.73	0.27	0.59	0.38	0.31    4.0
CD-38585	0.21	0.31	0.39	0.33	0.27	0.11	0.04	0.09	1.05	0.95	1.66	1.42	1.55    1.0
CD-422048	0.44	0.28	0.37	0.36	0.26	0.18	-       0.05	0.95	0.96	1.56	1.12	1.22    3.0
CD-538144	0.16	0.17	0.17	0.11	0.08	0.08	-0.09	0.06	0.83	0.80	1.51	0.97	1.00    2.0
CD-611941	0.06	0.08	0.08	0.18	0.04	0.01	-0.02	0.01	0.73	0.68	1.56	1.15	1.08    2.0
CPD-621013	0.04	-0.20	0.15	0.10	0.01	-0.01	-0.01	-0.05	0.72	0.72	0.97	1.11	0.74    3.0
CPD-644333	0.16	0.12	0.30	0.09	0.27	-0.02	0.09	-0.03	1.13	1.12	2.52	1.41	1.41    3.0
HD4084		0.35	0.42	0.31	0.35	0.12	0.28	0.08	0.10	0.69	1.02	1.10	0.84	0.74    2.0
HD5424		0.02	0.27	0.14	0.23	0.18	0.03	0.09	0.07	1.17	0.98	2.51	1.68	1.61    1.5
HD5825		0.22	0.31	0.13	0.31	0.25	0.12	0.06	0.06	0.85	0.65	1.28	1.12	0.93    2.0
HD15589		0.08	0.34	0.29	0.22	0.14	0.26	0.03	0.09	0.86	1.02	2.11	1.32	1.40    1.0
HD20394		0.21	0.21	0.18	0.23	0.21	0.11	0.01	0.05	1.00	1.14	1.70	1.28	1.30    2.0
HD21989		0.17	0.30	0.05	0.26	-0.08	-0.02	-0.01	0.05	0.66	0.42	0.93	0.61	0.51    4.0
HD22285		0.41	0.40	0.26	0.28	0.33	0.15	0.02	0.10	0.96	0.99	1.45	1.28	1.23    2.0
HD22772		0.28	0.17	0.07	0.30	0.18	-0.04	-0.06	-0.08	0.90	0.78	1.24	0.91	0.83    2.0
HD24035		0.18	0.19	0.38	0.34	0.27	0.11	-0.04	0.06	1.35	1.20	2.70	1.58	1.58    1.5
HD29370		0.28	0.38	0.24	0.11	0.12	0.07	-0.07	0.05	0.83	0.71	1.61	1.03	1.00    3.0
HD29685		-0.09	0.05	0.00	0.07	0.11	0.02	0.03	0.01	0.69	0.46	0.78	0.66	0.54    2.5
HD30240		-0.02	-0.03	-0.05	0.05	0.07	-0.03	0.01	-0.06	0.83	0.57	0.84	0.69	0.62    3.0
HD30554		-0.08	0.05	0.02	0.08	-0.04	0.00	-0.01	-0.04	0.82	0.57	1.07	0.92	0.77    3.0
HD32712		0.19	0.31	0.13	0.15	0.05	0.01	-0.01	0.03	0.74	0.56	1.53	1.16	1.19    2.0
HD32901		0.12	0.37	0.26	0.27	0.15	0.11	-0.02	0.09	0.35	0.23	1.07	0.84	0.85    2.0
HD35993		0.03	-0.02	0.00	0.06	0.14	0.00	0.03	0.01	0.90	0.92	1.44	1.15	1.08    2.5
HD36650		0.29	0.35	0.23	0.30	0.20	0.08	-0.03	0.03	0.55	0.46	0.83	0.68	0.57    2.0
HD38488		-	    -0.14	0.06	0.03	-	    0.11	0.06	0.09	0.97	0.70	1.26	0.78	0.89    3.0
HD40430		0.15	0.23	0.07	0.18	0.18	-0.02	-0.03	0.08	0.76	0.58	0.91	0.89	0.74    2.0
HD43389		0.38	0.51	0.43	0.26	0.44	0.04	-	    0.09	0.94	1.34	2.65	1.36	1.49    4.0
HD49641		0.24	0.10	0.07	0.22	0.07	-0.02	0.04	0.05	0.89	0.53	1.86	1.04	1.14    3.0
HD51959		0.04	0.06	0.07	0.10	0.10	0.08	0.03	0.02	0.61	0.76	0.99	0.87	0.81    2.0
HD58368		0.11	-0.13	0.08	0.12	0.06	-0.01	-0.04	0.02	0.85	0.60	1.13	0.86	0.69    3.0
HD59852		0.44	0.18	0.08	0.19	0.22	-0.06	-0.03	0.01	0.40	0.27	0.39	0.41	0.30    4.0
HD61332		0.38	0.13	0.17	0.16	0.15	0.00	0.00	0.05	0.47	0.35	0.66	0.39	0.42    4.0
HD64425		0.20	-0.02	0.10	0.05	0.14	-0.01	-0.01	0.04	0.89	0.83	1.27	0.94	0.98    3.0
HD66291		0.38	0.36	0.31	0.27	0.36	0.20	0.02	0.09	0.74	0.57	0.94	1.09	0.59    4.0
HD67036		0.22	0.28	0.39	0.27	0.21	0.18	0.04	0.05	1.01	0.82	1.71	0.97	1.03    2.0
HD71458		0.02	-0.04	0.05	0.03	0.10	0.02	-0.01	-0.01	0.68	0.51	0.97	0.66	0.67    2.5
HD74950		0.17	0.23	0.23	0.26	0.10	0.21	0.02	0.10	0.63	0.58	1.22	0.72	0.71    3.0
HD82221		0.22	0.30	0.30	0.26	0.15	0.00	0.00	0.07	0.90	0.79	1.20	0.80	0.77    2.0
HD83548		0.10	0.18	0.02	0.17	0.13	-0.02	0.06	0.00	0.69	0.71	0.92	0.77	0.62    4.0
HD84610		0.18	0.30	0.04	0.08	0.16	0.02	0.03	0.06	0.71	0.48	0.82	0.50	0.46    3.0
HD84678		0.54	0.18	0.29	0.22	0.01	-0.04	-	    -0.09	1.09	1.21	2.04	1.52	1.74    4.0
HD88035		-0.03	0.15	0.03	0.04	-0.02	-0.06	-0.06	-0.02	0.87	0.80	1.74	1.14	1.06    3.0
HD88562		0.21	0.28	0.24	0.22	0.18	0.14	0.01	0.03	0.75	0.90	1.34	1.00	1.06    1.5
HD89175		0.18	0.39	0.33	0.19	0.27	0.08	0.03	0.06	1.02	1.04	2.22	1.70	1.72    2.0
HD91208		0.02	0.01	0.10	0.08	0.08	-0.01	0.01	0.00	0.94	0.61	0.81	0.84	0.67    2.5
HD91979		0.14	0.16	0.07	0.19	0.11	-0.03	0.01	0.03	0.78	0.69	1.09	0.93	0.73    3.0
HD92626		0.22	-0.07	0.25	0.22	0.15	0.05	0.06	0.09	0.99	1.21	2.51	1.74	1.69    2.0
HD105902	0.33	0.37	0.41	0.19	0.21	0.22	0.01	0.06	1.13	1.09	2.40	1.26	1.28    1.5
HD107264	0.47	0.05	0.19	0.17	0.27	0.09	-0.01	-0.03	0.60	0.89	1.70	1.05	0.93    4.0
HD107541	0.21	0.44	0.39	0.44	0.28	0.36	0.15	0.11	1.53	1.35	2.52	1.87	1.83    1.0
HD110483	0.12	0.20	-0.01	0.09	0.19	0.09	-0.01	0.04	0.84	0.73	1.58	1.05	0.89    3.0
HD110591	0.21	0.40	0.24	0.35	0.28	0.01	-0.04	0.09	0.54	0.28	0.97	0.89	0.72    2.0
HD111315	0.34	0.25	0.00	0.11	0.11	-0.06	-0.05	-0.02	0.65	0.29	0.81	0.59	0.46    4.0
HD113291	0.22	-0.02	-0.04	0.09	0.03	-0.06	-0.04	-0.02	1.25	0.83	1.77	1.01	0.95    2.5
HD116869	0.20	0.31	0.24	0.30	0.24	0.10	0.02	0.10	0.69	0.46	1.12	1.05	0.91    2.0
HD119185	0.34	0.35	0.15	0.24	0.20	0.01	0.00	0.08	0.30	0.21	0.54	0.60	0.44    4.0
HD120571	0.06	0.09	0.13	0.26	0.22	-0.02	-0.02	0.05	0.53	0.31	1.02	0.74	0.73    4.0
HD120620	0.12	0.18	0.20	0.20	0.14	0.20	0.03	0.07	1.31	1.26	2.01	1.71	1.39    2.0
HD122687	0.10	0.00	-0.01	0.11	0.10	0.02	0.03	0.01	1.02	0.71	1.57	1.11	0.97    3.0
HD123396	0.07	0.44	0.28	0.36	0.30	0.14	-0.03	0.04	0.60	0.73	1.55	1.29	1.25    1.0
HD123701	0.31	0.31	0.20	0.14	0.23	0.17	0.05	0.08	0.72	0.94	1.56	1.20	1.14    3.0
HD123949	0.22	0.21	0.25	0.00	0.16	0.16	0.10	0.03	1.22	1.02	2.50	1.48	1.51    3.0
HD126313	0.09	0.00	0.04	0.17	0.23	0.01	-0.01	-0.04	0.81	0.70	1.58	1.13	0.93    4.0
HD130255	0.06	0.60	0.41	0.58	0.44	0.19	-0.02	0.05	0.32	0.36	0.39	0.51	0.36    1.0
HD131670	0.26	-0.01	0.11	0.18	0.13	-0.04	0.01	0.07	0.64	0.58	1.13	0.64	0.45    3.0
HD136636	0.09	0.25	0.07	0.12	0.01	0.02	-0.02	0.00	1.01	0.80	1.75	1.05	1.08    3.0
HD142751	0.11	-0.13	0.06	0.10	0.03	0.01	-0.01	0.01	0.81	0.63	1.06	0.67	0.60    4.0
HD143899	0.14	0.36	0.09	0.18	0.20	-0.02	0.01	0.07	0.86	0.57	0.90	0.90	0.71    3.0
HD147884	0.06	0.18	0.05	0.08	0.08	-0.04	0.05	-0.03	1.00	0.79	1.01	0.92	0.77    2.5
HD148177	0.37	0.37	0.15	0.24	0.07	0.00	0.04	-0.02	0.72	0.65	1.17	0.58	0.58    5.0
HD154430	0.32	0.32	0.33	0.35	0.17	0.27	-	    0.10	0.93	0.97	2.00	1.33	1.31    3.0
HD162806	0.26	0.38	0.13	0.31	0.10	0.00	-0.09	0.06	0.80	0.63	1.56	0.94	0.82    4.0
HD168214	0.04	0.13	0.13	0.09	0.07	-0.06	0.04	-0.04	1.02	0.96	1.01	0.86	0.77    2.0
HD168560	0.06	0.16	0.04	0.26	0.11	0.01	-0.07	0.02	0.53	0.30	0.90	0.55	0.51    3.0
HD168791	-	    0.36	0.32	0.15	0.24	0.21	0.07	0.04	0.77	0.80	1.58	0.83	0.81    2.0
HD176105	0.18	0.06	0.13	0.28	0.11	-0.07	-0.06	0.02	0.51	0.41	0.57	0.48	0.41    5.0
HD177192	0.31	0.33	0.05	0.33	0.35	0.06	-0.02	0.05	0.58	0.72	0.72	0.41	0.32    4.0
HD180996	0.20	0.01	0.03	0.14	0.11	0.01	-0.03	0.08	0.61	0.49	0.59	0.51	0.37    3.0
HD182300	0.24	-0.07	-0.03	0.04	0.10	-0.06	-0.02	-0.04	0.98	0.70	1.41	0.98	0.90    3.0
HD183915	0.15	0.36	-	    0.18	0.10	-0.01	-0.03	0.02	0.88	0.68	2.16	1.22	1.36    4.0
HD187308	-0.04	0.03	0.01	0.08	0.06	-0.07	0.06	-0.01	0.82	0.47	0.80	0.71	0.60    3.0
HD193530	0.31	0.23	0.19	0.16	0.21	0.25	0.10	0.02	0.60	0.71	1.25	0.72	0.55    2.0
HD196445	0.28	0.58	0.07	0.06	0.28	0.25	-	    0.10	0.96	1.02	2.02	1.14	1.10    4.0
HD199435	0.27	0.28	0.01	0.19	0.07	0.05	-0.03	0.00	0.92	0.81	1.74	1.31	1.32    2.0
HD200995	0.15	0.06	0.07	0.13	0.03	0.00	-0.03	-0.02	0.64	0.56	1.05	0.89	0.51    3.0
HD201657	0.25	0.41	0.27	0.25	0.14	-0.01	-0.01	0.03	0.72	0.98	1.91	1.44	1.28    2.0
HD201824	0.19	0.30	0.15	0.28	0.12	0.06	0.02	0.01	0.91	0.87	1.58	1.48	1.35    3.0
HD204075	0.01	0.06	0.01	0.02	0.04	-0.12	-0.05	-0.09	1.25	0.95	1.06	0.81	0.71    6.0
HD207277	0.12	0.12	-0.03	0.21	0.12	0.01	-0.08	-0.06	0.70	0.51	1.17	0.93	0.73    4.0
HD210709	-0.01	0.08	0.06	0.20	-0.01	-0.06	-0.07	0.06	0.56	0.39	0.92	0.84	0.74    2.5
HD210946	0.00	0.03	0.00	0.12	0.05	-0.04	-0.04	-0.03	0.77	0.56	0.81	0.66	0.61    4.0
HD211173	0.20	0.30	0.07	0.34	0.22	-0.03	-0.04	0.09	0.58	0.37	0.58	0.52	0.36    3.0
HD211594	0.45	0.40	0.15	0.26	0.26	0.24	0.09	0.08	1.20	1.18	2.31	1.57	1.49    3.0
HD211954	0.37	0.53	0.39	0.35	0.39	0.36	-0.03	0.09	1.14	1.02	1.90	1.54	1.69    4.0
HD214579	0.23	0.29	0.29	0.22	0.15	0.05	-0.01	0.05	0.52	0.76	1.16	0.86	0.81    2.0
HD217143	0.02	0.44	0.06	0.26	0.22	0.09	-0.02	0.09	0.87	0.62	1.62	1.15	1.08    2.5
HD217447	0.18	0.17	-0.01	0.17	0.12	-0.04	-0.08	0.00	0.93	0.60	1.09	1.01	0.84    2.5
