name		err_Na	err_Mg    err_Al     err_Si    err_Ca    err_Ti     err_Cr    err_Ni    err_Y     err_Zr      xLa      err_Ce     err_Nd
BD-083194   ---	    0.17   0.15    0.16   0.12   0.11   0.10   0.12	0.16   0.14    0.20     0.12    0.21
BD-094337   ---	    0.17   0.11    0.24   0.05   0.08    ---       0.07  ---    0.18    ---         0.12    0.26
BD-142678   ---	    0.18   0.24    0.09   0.12   0.15   0.05   0.07  0.09   0.15    0.07     0.05    0.17
CD-272233   0.15	0.14   0.10    0.14   0.06   0.17   0.09   0.11  0.17   0.16    0.14     0.13    0.11
CD-298822   ---	    0.23   0.18    0.13   0.17   0.14   0.08   0.10  0.10   0.14    0.22     0.09    0.07
CD-308774   ---     0.21   0.18    0.13   0.11   0.04   0.06   0.15  0.21   0.12    0.20     0.11    0.10
CD-38585    0.11	0.18   0.10    0.04   0.09   0.10   0.11   0.09  0.23   0.13    0.06     0.09    0.16
CD-422048   --- 	0.05   0.08    0.16   0.21   0.20   ---       0.17  0.18   0.12    0.39     0.17    0.15
CD-538144   0.14	0.11   0.15    0.13   0.16   0.16   0.06   0.07  0.05   0.14    0.16     0.18    0.10
CD-611941   0.15	0.16   0.17    0.17   0.06   0.16   0.0694)   0.08  0.14   0.05     0.19     0.16    0.12
CPD-621013  --- 	0.26   0.39    0.10   0.10  0.06   0.32   0.08	0.19   0.14     0.12     0.06    0.13
CPD-644333  --- 	0.03   0.14    0.18   0.25   0.10   0.23   0.17  0.20   0.14    0.15     0.23    0.14
HD4084      0.14	0.12   0.07    0.08   0.15   0.09   0.15   0.08  0.18   0.16    0.09     0.09    0.12
HD5424      0.09	0.19   0.11    0.12   0.10   0.13   0.17   0.15  0.10   0.08    0.27     0.17    0.16
HD5825      0.10	0.12   0.08    0.08   0.15  0.09   0.17   0.08  0.10   0.13    0.18     0.14    0.11
HD15589     0.07	0.19   0.12    0.12   0.14   0.10   0.11   0.12  0.23   0.11    0.04     0.17    0.16
HD20394     0.12	0.13   0.13    0.13   0.17  0.09   0.39   0.07  0.10   0.04     0.19     0.09    0.13
HD21989     ---  0.20   0.12    0.1395)   0.11   0.07   0.02   0.13  0.15   0.06     0.14     0.06    0.12
HD22285     0.11 0.16   0.07    0.14   0.20  0.13   0.09   0.14  0.16   0.13    0.17     0.08    0.11
HD22772     0.21 0.12   0.03    0.13   0.17   0.11   0.06   0.11  0.08   0.16    0.12     0.14    0.15
HD24035     0.20 0.13   0.12    0.19   0.27   0.20   0.18   0.16	0.15   0.18     0.09     0.12    0.11
HD29370     0.14 0.20   0.14    0.18   0.09   0.16   0.08   0.16  0.06   0.18    0.18     0.18    0.14
HD29685     ---  0.20   0.10    0.10   0.16  0.08   0.08   0.13  0.09   0.16    0.11     0.11    0.14
HD30240     ---  0.21   0.22    0.08   0.15   0.06   0.10   0.11  0.06   0.13    0.07     0.17    0.12
HD30554     ---  0.16   0.12    0.10   0.14  0.08   0.05   0.10  0.09   0.15    0.08     0.16    0.12
HD32712     0.16 0.14   0.10    0.12   0.17  0.11   0.10   0.12  0.19   0.14    0.31     0.15    0.17
HD32901     0.03 0.13   0.12    0.07   0.15  0.11   0.06   0.12  0.17   0.17    0.21     0.12    0.12
HD35993     ---  0.18   0.11    0.15   0.11   0.12   0.07   0.11  0.12   0.14    0.22     0.14    0.11
HD36650     0.13 0.15   0.06    0.11   0.13  0.14   0.04   0.10  0.09   0.15    0.11     0.10    0.15
HD38488     ---     0.11   0.12    0.17   ---       0.09   ---    0.15  0.26   0.15    0.09     0.20    0.09
HD40430    	0.15 0.20  0.17    0.12   0.15  0.10   0.06   0.09	0.07   0.08     0.10     0.15    0.13
HD43389     ---  0.17   ---     0.17   0.16   0.03    ---       0.16  0.31   0.11    0.26     0.11    0.19
HD49641     ---  0.25   0.07    0.15   0.12   0.12   0.03   0.14  0.10   0.12    0.16     0.12    0.16
HD51959     ---  0.19   0.08    0.15   0.08   0.13   0.07   0.10  0.16   0.11    0.08     0.11    0.12
HD58368     ---  0.11   0.34    0.13   0.13   0.05   0.10   0.15  0.06   0.15    0.09     0.08    0.10
HD59852    	0.14 0.18  0.19    0.07   0.14  0.07   0.03   0.12  0.11   0.00     0.08     0.10    0.11
HD61332     ---  0.20   0.19    0.16   0.14   0.13   0.04   0.17  0.08   0.12    0.14     0.12    0.15
HD64425     ---  0.09   0.14    0.13   ---    0.13   0.06   0.15  0.05   0.14    0.03     0.15    0.20
HD66291     ---  0.18   0.14    0.19   0.28   0.16   ---    0.10  0.05   0.20    0.11     0.10    0.17
HD67036     ---  0.14   0.13    0.10   0.05   0.14   0.03   0.12  0.11   0.14    ---      0.11    0.12
HD71458    	---  0.19   0.11    0.11   0.15   0.10   0.07   0.13	0.09   0.14    0.16     0.06    0.12
HD74950    	---  0.20   0.15    0.16   0.04   0.12   0.08   0.14  0.41   0.17    0.30     0.19    0.71
HD82221    	---  0.18   0.18    0.20   0.18   0.20   0.09   0.10  0.21   0.11     0.29     0.13    0.14
HD83548    	---  0.21   0.16    0.11   0.16   0.12   0.12   0.12  0.15   0.13     0.10     0.11    0.11
HD84610    	---  0.16   0.07    0.12   0.14   0.17   0.03   0.06  0.06   0.15    0.14     0.18    0.13
HD84678    	---  0.10   0.16    0.25   ---    0.16    ---       0.15  0.25   0.16    ---      0.12    0.08
HD88035    	---  0.16   0.08    0.15   0.17   0.13   0.14   0.14  0.05   0.05     0.11     0.13    0.12
HD88562    	---  0.22   0.12    0.14   0.16   0.14   0.15   0.15  0.22   0.16     0.28     0.17    0.14
HD89175    	0.19 0.21   0.09    0.11   0.14  0.14   0.10   0.14  0.10   0.17    0.09     0.12    0.17
HD91208    	---  0.19   0.32    0.08   0.10   0.09   0.07   0.11  0.08   0.11    0.16     0.21    0.12
HD91979    	---  0.20   0.19    0.08   0.13  0.10   0.06   0.14  0.07   0.12    0.20     0.13    0.12
HD92626    	0.22 0.11   0.22    0.28   0.20   0.13   ---    0.21  0.15   0.16    ---      0.14    0.15
HD105902   	0.25 0.24   0.17    0.15   0.20   0.22   ---    0.11  0.20   0.11    0.17     0.16    0.15
HD107264   	---  0.17   0.16    0.15   0.16   0.18   ---    0.12  0.28   0.15    0.10     0.11    0.19
HD107541   	0.01 0.23   ---     ---    0.12  0.17   0.10   0.11  0.07   0.24    0.10     0.20    0.13
HD110483    ---  0.16   0.08    0.13   0.19   0.18   0.11   0.15  0.08   0.13    0.08     0.13    0.19
HD110591   	0.17 0.19   0.07    0.14   0.14  0.06   0.02   0.10  0.21   0.15     0.10     0.13    0.16
HD111315    ---  0.18   0.12    0.11   0.18   0.11   0.03   0.10  0.06   0.16    0.10     0.15    0.46
HD113291    ---  0.18   0.10    0.14   0.08   0.12   0.13   0.15  0.14   0.13    0.17     0.11    0.14
HD116869   	0.14 0.19  0.19    0.12   0.13  0.12   0.08   0.10  0.22   0.15    0.15     0.10    0.11
HD119185   	0.14 0.15   0.09    0.04   0.09   0.12   0.09   0.10	0.07   0.12     0.06     0.16    0.11
HD120571    ---  0.16   0.11    0.11   0.18   0.11   0.09   0.10  0.29   0.14    0.15     0.09    0.15
HD120620    ---  0.24   0.09    0.08   0.15   0.17   0.10   0.10  0.17   0.16    0.29     0.23    0.14
HD122687   	0.13 0.23   0.16    0.10   0.14  0.09   0.07   0.10  0.08   0.15    0.17     0.18    0.20
HD123396   	0.11 0.28   0.07    0.14   0.15  0.11   0.16   0.09  0.17   0.15     0.11     0.14    0.08
