name Fe/H feh_err
BD-142678 +0.01 0.12
CD-422048 -0.23 0.16
CPD-644333 -0.10 0.18
HD20394 -0.22 0.12
HD24035 -0.23 0.15
HD40430 -0.23 0.13
HD49641 -0.30 0.17
HD58368 +0.04 0.14
HD59852 -0.22 0.10
HD84678 -0.13 0.16
HD91208 +0.05 0.14
HD92626 -0.15 0.22
HD107541 -0.63 0.11
HD119185 -0.43 0.10
HD143899 -0.27 0.12
HD154430 -0.36 0.19
HD183915 -0.39 0.14
HD201657 -0.34 0.17
HD201824 -0.33 0.17
HD210946 -0.12 0.13
HD211594 -0.43 0.14
HD18182 -0.17 0.10
HD53199 -0.23 0.13
HD58121 -0.01 0.13
HD95193 +0.04 0.12
HD134698 -0.52 0.12
HD180622 +0.03 0.12
HD200063 -0.34 0.20
