name      deC Ba_mass err+ err- deC-J Fe/H	agb_ini  mass_try
CPD-644333 3.0 1.4 +0.1 -0.1 1.6   -0.10 2.11   2.11
CD-422048  3.0 1.9 +0.7 -0.5 1.1   -0.23 3.15	3.15
BD-142678  2.5 3.0 +0.2 -0.2 -0.5   0.01 3.47	3.47
HD18182    3.0 1.8 +0.2 -0.1 1.2   -0.17 1.90	1.90
HD20394    2.0 2.0 +0.2 -0.2 0     -0.22 3.25	3.25
HD24035    1.5 1.3 +0.3 -0.2 0.2   -0.23 1.82	1.82
HD40430    2.0 2.3 +0.2 -0.2 -0.3  -0.23 2.80	2.80
HD49641    3.0 2.7 +1.2 -0.8 0.3   -0.3  5.23	2.5
HD53199    3.0 2.5 +0.1 -0.1 0.5   -0.23 3.00	3.00
HD58121    5.0 2.6 +0.5 -0.4 2.4   -0.01 3.10	3.10
HD58368    3.0 2.6 +0.1 -0.2 0.4    0.04 3.10   3.10
HD59852    4.0 2.5 +0.2 -0.3 1.5   -0.22 3.00	3.00
HD84678    4.0 2.3 +0.6 -0.5 1.7   -0.13 3.80	3.80
HD91208    2.5 2.3 +0.1 -0.2 0.2    0.05 2.83	2.83
HD92626    2.0 3.1 +0.4 -0.6 -1.1  -0.15 5.60	2.5
HD95193    3.0 2.7 +0.1 -0.1 0.3    0.04 3.26	3.26
HD107541   1.0 1.1 +0.2 -0.1 -0.1  -0.63 1.35	1.35
HD119185   4.0 1.7 +0.2 -0.2 2.3   -0.43 1.74	1.74
HD134698   1.5 1.5 +0.2 -0.2 0     -0.52 1.25	2.25
HD143899   3.0 2.4 +0.1 -0.1 0.6   -0.27 3.00	3.00
HD154430   3.0 2.3 +1.4 -0.7 0.7   -0.36 3.62	3.62
HD180622   3.0 1.8 +0.3 -0.2 1.2    0.03 1.90	1.90
HD183915   4.0 1.8 +1.0 -0.6 2.2   -0.39 1.90	1.90
HD200063   2.0 2.0 +1.3 -0.9 0     -0.34 2.40	2.40
HD201657   2.0 1.8 +0.5 -0.4 0.2   -0.34 3.00	3.00
HD201824   3.0 1.7 +0.4 -0.2 1.3   -0.33 2.75	2.75
HD210946   4.0 1.8 +0.5 -0.4 2.2   -0.12 1.90	1.90
HD211594   3.0 2.0 +0.3 -0.2 1     -0.43 3.25	3.25
